Position	Strand	Type	Locus	Product	EGDe_37C_TSS	sigB	prfA	EGDe_30C	EGDe_minusO2	EGDe_Stat	EGDe_Complete_TSS
472755	+	Upstream	lmo0443	LytR transcription regulator LytR	179	320	169	51	233	185	1137
476901	+	Upstream	lmo0445	transcription regulator	5	0	0	0	0	4	9
483139	+	Upstream	lmo0449	hypothetical protein	82	92	26	65	177	15	457
485399	-	Upstream	lmo0451	hypothetical protein	15	21	6	3	44	2	91
489801	-	Upstream	lmo0454	YeaC	0	7	0	2	7	5	21
489887	+	Upstream	lmo0455	hypothetical protein	6	8	3	3	20	0	40
491595	+	Upstream	lmo0456	permeases	0	8	0	0	0	0	8
502780	+	Upstream	lmo0466	hypothetical protein	19	11	8	3	9	0	50
506334	+	Upstream	lmo0470	weakly site-specific DNA-methyltransferase	6	8	18	44	17	14	107
507068	+	Intergenic	NA	NA	3	2	2	2	9	0	18
507161	-	Intergenic	NA	NA	11	51	25	3	2	3	95
507372	-	Intergenic	NA	NA	9	14	13	43	148	52	279
507476	-	Intergenic	NA	NA	0	8	2	0	29	3	42
507542	-	Intergenic	NA	NA	0	4	2	4	2	2	14
507544	+	Upstream	lmo0471	hypothetical protein	10	7	2	0	2	4	25
507548	-	Intergenic	NA	NA	0	2	2	0	3	0	7
509222	+	Upstream	lmo0472	hypothetical protein	0	0	0	0	5	0	5
513287	-	Upstream	lmo0476	oxetanocin A resistance protein oxrB	0	5	0	0	0	3	8
513848	+	Upstream	lmo0477	putative secreted protein	46	24	9	7	19	2	107
513982	+	Upstream	lmo0477	putative secreted protein	3	3	0	0	0	0	6
513992	+	Upstream	lmo0477	putative secreted protein	2	2	0	0	0	2	6
514655	+	Upstream	lmo0478	putative secreted protein	0	3	0	0	3	0	6
516050	+	Upstream	lmo0480	putative transcriptional regulator	0	5	2	0	0	0	7
516722	+	Upstream	lmo0481	myosin-cross-reactive antigen	6	6	11	89	11	12	135
518564	+	Upstream	lmo0482	ribosomal RNA large subunit methyltransferase N	4	11	3	3	5	0	26
519759	+	Upstream	lmo0483	hypothetical protein	344	187	35	7	15	2	590
519768	+	Upstream	lmo0483	hypothetical protein	4	2	0	0	0	0	6
520378	+	Upstream	lmo0484	heme-degrading monooxygenase IsdG	36	26	53	310	11	0	436
520927	+	Upstream	lmo0485	hypothetical protein	0	0	2	8	0	0	10
521574	+	Upstream	lmo0486	50S ribosomal protein L32	114	132	145	93	399	868	1751
521825	+	Upstream	lmo0487	hypothetical protein	19	14	4	3	7	0	47
526728	+	Upstream	lmo0491	3-dehydroquinate dehydratase	15	15	6	0	2	0	38
530486	+	Upstream	lmo0494	weakly esterase	49	56	11	5	37	2	160
531148	+	Intergenic	NA	NA	12	4	7	37	112	12	184
531199	+	Upstream	lmo0495	transmembrane protein	0	0	0	0	8	2	10
531210	+	Upstream	lmo0495	transmembrane protein	0	0	0	0	6	0	6
536169	+	Upstream	lmo0501	transcription antiterminator BglG family	3	0	0	0	0	0	3
543169	+	Upstream	lmo0509	phosphoribosyl pyrophosphate synthetase	55	140	75	35	64	44	413
