NCBI id	RAST id	begin RAST	end RAST	length RAST	diffcenter NCBI-RAST	description RAST
EGD1016	fig|6666666.16889.peg.1037	1038870	1037203	1668	0	Ribonuclease J1 (endonuclease and 5' exonuclease)
EGD1017	fig|6666666.16889.peg.1038	1039086	1038877	210	0	Protein of unknown function DUF1447
EGD1018	fig|6666666.16889.peg.1039	1039571	1040341	771	0	Hydrolase (HAD superfamily) in cluster with DUF1447
EGD0103	fig|6666666.16889.peg.104	106811	109093	2283	0	Chitinase (EC 3.2.1.14)
EGD1019	fig|6666666.16889.peg.1040	1041418	1040390	1029	0	"Unknown pentose utilization regulator, LacI family"
EGD1020	fig|6666666.16889.peg.1041	1041682	1043085	1404	0	Unknown pentose isomerase TM0951
EGD1021	fig|6666666.16889.peg.1042	1043101	1043925	825	0	"Transketolase, N-terminal section (EC 2.2.1.1)"
EGD1022	fig|6666666.16889.peg.1043	1043918	1044874	957	0	"Transketolase, C-terminal section (EC 2.2.1.1)"
EGD1023	fig|6666666.16889.peg.1044	1044871	1046334	1464	0	Unknown pentose kinase TM0952
EGD1024	fig|6666666.16889.peg.1045	1046331	1048187	1857	0	"PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)"
EGD1025	fig|6666666.16889.peg.1046	1048207	1049472	1266	0	FIG00774052: hypothetical protein
EGD1026	fig|6666666.16889.peg.1047	1050336	1049533	804	0	"membrane protein, putative"
EGD1027	fig|6666666.16889.peg.1048	1050985	1050404	582	0	Molybdopterin-guanine dinucleotide biosynthesis protein MobA
EGD1028	fig|6666666.16889.peg.1049	1051628	1050966	663	0	Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)
EGD0104	fig|6666666.16889.peg.105	109196	110098	903	0	Sugar kinase and transcription regulator (EC 2.7.1.-)
EGD1029	fig|6666666.16889.peg.1050	1052302	1051631	672	0	Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)
EGD1030	fig|6666666.16889.peg.1051	1052407	1053177	771	0	"Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)"
EGD1031	fig|6666666.16889.peg.1052	1053272	1054495	1224	0	Molybdopterin biosynthesis protein MoeA
EGD1032	fig|6666666.16889.peg.1053	1054474	1054959	486	0	Molybdopterin-guanine dinucleotide biosynthesis protein MobB
EGD1033	fig|6666666.16889.peg.1054	1054956	1055378	423	0	Molybdenum cofactor biosynthesis protein MoaE
EGD1034	fig|6666666.16889.peg.1055	1055362	1055610	249	0	Molybdenum cofactor biosynthesis protein MoaD
EGD1035	fig|6666666.16889.peg.1056	1055623	1056105	483	0	Molybdenum cofactor biosynthesis protein MoaC
EGD1036	fig|6666666.16889.peg.1057	1056224	1057135	912	45	Molybdenum cofactor biosynthesis protein MoaA
EGD1037	fig|6666666.16889.peg.1058	1057658	1057170	489	0	Molybdenum cofactor biosynthesis protein MoaB
EGD1038	fig|6666666.16889.peg.1059	1058668	1057670	999	0	Molybdopterin biosynthesis protein MoeB
EGD0105	fig|6666666.16889.peg.106	111904	110123	1782	0	Lipid A export ATP-binding/permease protein MsbA
EGD1039	fig|6666666.16889.peg.1060	1058799	1059353	555	0	FIG00774848: hypothetical protein
EGD1040	fig|6666666.16889.peg.1061	1059953	1059402	552	0	Peptide deformylase (EC 3.5.1.88)
EGD1041	fig|6666666.16889.peg.1062	1060787	1061902	1116	0	Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)
EGD1042	fig|6666666.16889.peg.1063	1061905	1062882	978	0	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)
EGD1043	fig|6666666.16889.peg.1064	1062993	1064627	1635	0	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
EGD1044	fig|6666666.16889.peg.1065	1064632	1066035	1404	0	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)
EGD1046	fig|6666666.16889.peg.1067	1066663	1067616	954	0	lactate/malate dehydrogenase family protein
EGD1047	fig|6666666.16889.peg.1068	1067616	1067888	273	0	FIG006438: hypothetical protein
EGD1048	fig|6666666.16889.peg.1069	1067910	1068440	531	0	FIG00774782: hypothetical protein
EGD0106	fig|6666666.16889.peg.107	113639	111897	1743	0	Lipid A export ATP-binding/permease protein MsbA
EGD1049	fig|6666666.16889.peg.1070	1068582	1069244	663	0	Two-component response regulator
EGD1050	fig|6666666.16889.peg.1071	1069324	1070664	1341	44	HAMP domain protein
EGD1051	fig|6666666.16889.peg.1072	1070751	1072172	1422	0	"ABC transporters (permease protein), putattive"
EGD1052	fig|6666666.16889.peg.1073	1072185	1072853	669	0	"ABC transporter, ATP binding protein"
EGD1053	fig|6666666.16889.peg.1074	1073864	1072920	945	0	Magnesium and cobalt transport protein CorA
EGD1054	fig|6666666.16889.peg.1075	1074679	1074065	615	0	FIG00774309: hypothetical protein
EGD1055	fig|6666666.16889.peg.1076	1074811	1075584	774	0	Inositol-1-monophosphatase (EC 3.1.3.25)
EGD1056	fig|6666666.16889.peg.1077	1075776	1077614	1839	0	GTP-binding protein TypA/BipA
EGD1057	fig|6666666.16889.peg.1078	1077786	1078646	861	0	FIG00775152: hypothetical protein
EGD1058	fig|6666666.16889.peg.1079	1078927	1078685	243	0	FIG00774805: hypothetical protein
EGD0107	fig|6666666.16889.peg.108	113782	114615	834	0	"Transcriptional regulator, AraC family"
EGD1059	fig|6666666.16889.peg.1080	1079133	1079414	282	9	Conserved hypothetical protein YlaN
EGD1060	fig|6666666.16889.peg.1081	1079597	1080799	1203	3	Cell division protein FtsW
EGD1061	fig|6666666.16889.peg.1082	1081077	1084517	3441	0	Pyruvate carboxyl transferase (EC 6.4.1.1)
EGD1062	fig|6666666.16889.peg.1083	1084669	1085568	900	0	"Vitamin B12 ABC transporter, B12-binding component BtuF"
EGD1063	fig|6666666.16889.peg.1084	1085859	1086662	804	0	Teichoic acid translocation permease protein TagG
EGD1064	fig|6666666.16889.peg.1085	1086674	1087675	1002	0	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)
EGD1065	fig|6666666.16889.peg.1086	1087852	1089570	1719	0	N-acetylglucosaminidase (EC 3.2.1.96) Auto # frameshift
EGD1066	fig|6666666.16889.peg.1087	1089786	1091474	1689	0	Putative polyribitolphosphotransferase
EGD1067	fig|6666666.16889.peg.1088	1092388	1091516	873	0	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
EGD1068	fig|6666666.16889.peg.1089	1092580	1095438	2859	0	FIG028455: hypothetical protein
EGD0108	fig|6666666.16889.peg.109	114650	115765	1116	0	Esterase/lipase
EGD1069	fig|6666666.16889.peg.1090	1095570	1097441	1872	0	glycosyl transferase
EGD1070	fig|6666666.16889.peg.1091	1097458	1098324	867	0	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
EGD1071	fig|6666666.16889.peg.1092	1098343	1098903	561	0	"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)"
EGD1072	fig|6666666.16889.peg.1093	1098904	1099890	987	0	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
EGD1073	fig|6666666.16889.peg.1094	1099893	1100723	831	0	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
EGD1074	fig|6666666.16889.peg.1095	1100842	1102833	1992	0	CDP-ribitol:poly(ribitol phosphate) ribitol phosphotransferase
EGD1075	fig|6666666.16889.peg.1096	1102909	1103619	711	0	ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40)
EGD1076	fig|6666666.16889.peg.1097	1103616	1104641	1026	0	Xylitol dehydrogenase
EGD1077	fig|6666666.16889.peg.1098	1104828	1105889	1062	46	"CDP-glycerol: N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase"
EGD1078	fig|6666666.16889.peg.1099	1105890	1106273	384	0	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)
EGD0010	fig|6666666.16889.peg.11	12919	13887	969	0	Mevalonate kinase (EC 2.7.1.36)
EGD0109	fig|6666666.16889.peg.110	115869	116579	711	1	FIG00774534: hypothetical protein
EGD1079	fig|6666666.16889.peg.1100	1106295	1107278	984	0	"Beta-1,3-glucosyltransferase"
EGD1080	fig|6666666.16889.peg.1101	1107293	1108306	1014	8	"Beta-1,3-glucosyltransferase"
EGD1081	fig|6666666.16889.peg.1102	1108515	1110005	1491	0	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
EGD1082	fig|6666666.16889.peg.1103	1110017	1110841	825	0	NAD synthetase (EC 6.3.1.5)
EGD1083	fig|6666666.16889.peg.1104	1110854	1111162	309	0	FIG00774496: hypothetical protein
EGD1084	fig|6666666.16889.peg.1105	1111223	1111627	405	0	"PTS system, cellobiose-specific IIB component (EC 2.7.1.69)"
EGD1085	fig|6666666.16889.peg.1106	1111768	1113312	1545	6	"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"
EGD1086	fig|6666666.16889.peg.1107	1113540	1114313	774	0	"Transcriptional regulator, AraC family"
EGD1087	fig|6666666.16889.peg.1108	1114378	1114734	357	0	Glyoxalase family protein
EGD1088	fig|6666666.16889.peg.1109	1114992	1115276	285	0	FIG00775215: hypothetical protein
EGD0110	fig|6666666.16889.peg.111	117244	116549	696	0	FIG00774366: hypothetical protein
EGD1089	fig|6666666.16889.peg.1110	1115277	1115600	324	0	FIG00774173: hypothetical protein
EGD1090	fig|6666666.16889.peg.1111	1115631	1116098	468	0	FIG00774659: hypothetical protein
EGD1091	fig|6666666.16889.peg.1112	1116055	1117020	966	10	FIG00774659: hypothetical protein
EGD1092	fig|6666666.16889.peg.1113	1117032	1117400	369	0	FIG00774977: hypothetical protein
EGD1093	fig|6666666.16889.peg.1114	1117437	1117856	420	0	FIG00774231: hypothetical protein
EGD1094	fig|6666666.16889.peg.1115	1117942	1118415	474	0	FIG00774490: hypothetical protein
EGD1095	fig|6666666.16889.peg.1116	1118405	1118842	438	0	FIG00774565: hypothetical protein
EGD1097	fig|6666666.16889.peg.1117	1119232	1119765	534	0	FIG00774164: hypothetical protein
EGD1098	fig|6666666.16889.peg.1118	1119790	1120242	453	0	"acetyltransferase, GNAT family"
EGD1099	fig|6666666.16889.peg.1119	1120232	1120687	456	0	FIG00774162: hypothetical protein
EGD0111	fig|6666666.16889.peg.112	117915	117463	453	0	Protein gp35 [Bacteriophage A118]
EGD1100	fig|6666666.16889.peg.1120	1121699	1120701	999	12	FIG00774090: hypothetical protein
EGD1101	fig|6666666.16889.peg.1121	1122292	1121696	597	0	"acetyltransferase, GNAT family"
EGD1102	fig|6666666.16889.peg.1122	1123008	1122289	720	0	FIG00774033: hypothetical protein
EGD1103	fig|6666666.16889.peg.1123	1123258	1124973	1716	0	Transport ATP-binding protein CydC
EGD1104	fig|6666666.16889.peg.1124	1124975	1126621	1647	0	Transport ATP-binding protein CydD
EGD1105	fig|6666666.16889.peg.1125	1126966	1126658	309	0	FIG00774449: hypothetical protein
EGD1106	fig|6666666.16889.peg.1126	1127034	1127381	348	0	"transcriptional regulator, MerR family"
EGD1107	fig|6666666.16889.peg.1127	1127430	1128554	1125	12	FIG00774886: hypothetical protein
EGD1108	fig|6666666.16889.peg.1129	1129015	1130589	1575	0	Internalin-like protein (LPXTG motif) Lmo1136 homolog
EGD0112	fig|6666666.16889.peg.113	118256	117921	336	0	Phage repressor
EGD1109	fig|6666666.16889.peg.1130	1130977	1130630	348	0	FIG00774175: hypothetical protein
EGD1110	fig|6666666.16889.peg.1131	1131616	1131044	573	0	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
EGD1111	fig|6666666.16889.peg.1132	1132004	1131765	240	0	Lmo1139 protein
EGD1112	fig|6666666.16889.peg.1133	1132519	1132112	408	0	FIG00774528: hypothetical protein
EGD1113	fig|6666666.16889.peg.1134	1132611	1133090	480	0	Siroheme synthase / Precorrin-2 oxidase (EC 1.3.1.76)
EGD1114	fig|6666666.16889.peg.1135	1133218	1134573	1356	4	Cob(III)alamin reductase @ Cob(II)alamin reductase
EGD1115	fig|6666666.16889.peg.1136	1134570	1135124	555	0	Propanediol utilization polyhedral body protein PduT
EGD1116	fig|6666666.16889.peg.1137	1135272	1135622	351	0	Propanediol utilization polyhedral body protein PduU
EGD1117	fig|6666666.16889.peg.1138	1135628	1136059	432	0	Propanediol utilization protein PduV
EGD1118	fig|6666666.16889.peg.1139	1136084	1136833	750	0	Predicted alpha-ribazole-5-phosphate synthase CblS for cobalamin biosynthesis
EGD0113	fig|6666666.16889.peg.114	118473	118901	429	0	"Listeria protein LmaD, associated with virulence"
EGD1119	fig|6666666.16889.peg.1140	1136830	1137387	558	0	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)
EGD1120	fig|6666666.16889.peg.1141	1137389	1138135	747	0	Cobalamin synthase
EGD1121	fig|6666666.16889.peg.1142	1138136	1138711	576	0	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)
EGD1122	fig|6666666.16889.peg.1143	1140002	1139118	885	0	Propanediol utilization transcriptional activator
EGD1123	fig|6666666.16889.peg.1144	1140304	1140591	288	0	Propanediol utilization polyhedral body protein PduA
EGD1124	fig|6666666.16889.peg.1145	1140584	1141387	804	0	Propanediol utilization polyhedral body protein PduB
EGD1125	fig|6666666.16889.peg.1146	1141406	1143070	1665	0	Propanediol dehydratase large subunit (EC 4.2.1.28)
EGD1126	fig|6666666.16889.peg.1147	1143108	1143767	660	0	Propanediol dehydratase medium subunit (EC 4.2.1.28)
EGD1127	fig|6666666.16889.peg.1148	1143784	1144296	513	0	Propanediol dehydratase small subunit (EC 4.2.1.28)
EGD1128	fig|6666666.16889.peg.1149	1144341	1146161	1821	0	Propanediol dehydratase reactivation factor large subunit
EGD0114	fig|6666666.16889.peg.115	118913	119329	417	0	"LmaC, associated with virulence in Listeria"
EGD1129	fig|6666666.16889.peg.1150	1146158	1146505	348	0	Propanediol dehydratase reactivation factor small subunit
EGD1130	fig|6666666.16889.peg.1151	1146518	1146955	438	0	Propanediol utilization polyhedral body protein PduK
EGD1131	fig|6666666.16889.peg.1152	1146980	1147255	276	0	Propanediol utilization polyhedral body protein PduJ
EGD1132	fig|6666666.16889.peg.1153	1147259	1147894	636	0	Propanediol utilization protein PduL
EGD1133	fig|6666666.16889.peg.1154	1147915	1148754	840	0	Ethanolamine utilization protein EutJ
EGD1134	fig|6666666.16889.peg.1155	1148751	1149230	480	0	Propanediol utilization protein PduM
EGD1135	fig|6666666.16889.peg.1156	1149235	1149498	264	13	Propanediol utilization polyhedral body protein PduN
EGD1136	fig|6666666.16889.peg.1157	1149513	1150508	996	0	Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)
EGD1137	fig|6666666.16889.peg.1158	1150515	1151924	1410	0	CoA-acylating propionaldehyde dehydrogenase
EGD1138	fig|6666666.16889.peg.1159	1151940	1153058	1119	0	Putative iron-containing NADPH-dependent propanol dehydrogenase
EGD0115	fig|6666666.16889.peg.116	119604	119996	393	1	"Listeria protein LmaB, associated with virulence"
EGD1139	fig|6666666.16889.peg.1160	1153086	1153790	705	0	Glycerol uptake facilitator protein @ Propanediol diffusion facilitator
EGD1140	fig|6666666.16889.peg.1161	1153856	1155049	1194	0	"Propionate kinase, propanediol utilization (EC 2.7.2.1)"
EGD1141	fig|6666666.16889.peg.1162	1155063	1156148	1086	0	L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)
EGD1142	fig|6666666.16889.peg.1163	1156180	1157013	834	21	Threonine kinase in B12 biosynthesis
EGD1143	fig|6666666.16889.peg.1164	1157602	1158741	1140	0	Alcohol dehydrogenase (EC 1.1.1.1)
EGD1144	fig|6666666.16889.peg.1165	1159025	1159597	573	30	Ethanolamine two-component response regulator
EGD1145	fig|6666666.16889.peg.1166	1159590	1161047	1458	0	Ethanolamine sensory transduction histidine kinase
EGD1146	fig|6666666.16889.peg.1167	1161136	1162557	1422	0	Ethanolamine utilization protein EutA
EGD1147	fig|6666666.16889.peg.1168	1162599	1163963	1365	0	Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)
EGD1148	fig|6666666.16889.peg.1169	1163983	1164864	882	0	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)
EGD0116	fig|6666666.16889.peg.117	120009	120521	513	0	hypothetical protein
EGD1149	fig|6666666.16889.peg.1170	1164887	1165540	654	0	Ethanolamine utilization polyhedral-body-like protein EutL
EGD1150	fig|6666666.16889.peg.1171	1165555	1166076	522	0	Ethanolamine utilization polyhedral-body-like protein EutM
EGD1151	fig|6666666.16889.peg.1172	1166076	1167536	1461	0	"Acetaldehyde dehydrogenase, ethanolamine utilization cluster"
EGD1152	fig|6666666.16889.peg.1173	1167568	1167852	285	0	Ethanolamine utilization protein similar to PduA/PduJ
EGD1153	fig|6666666.16889.peg.1174	1168018	1168773	756	0	"ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), ethanolamine utilization"
EGD1154	fig|6666666.16889.peg.1175	1168786	1169427	642	0	Ethanolamine utilization protein similar to PduL
EGD1155	fig|6666666.16889.peg.1176	1169430	1169996	567	0	Protein clustered with ethanolamine utilization
EGD1156	fig|6666666.16889.peg.1177	1170011	1170280	270	0	Ethanolamine utilization polyhedral-body-like protein EutN
EGD1157	fig|6666666.16889.peg.1178	1170330	1170818	489	29	Ethanolamine utilization protein similar to PduT
EGD1158	fig|6666666.16889.peg.1179	1170834	1171955	1122	0	Ethanolamine permease
EGD0117	fig|6666666.16889.peg.118	120569	120871	303	0	FIG00774706: hypothetical protein
EGD1159	fig|6666666.16889.peg.1180	1171948	1172391	444	0	Ethanolamine utilization protein EutQ
EGD1160	fig|6666666.16889.peg.1181	1172601	1174052	1452	0	Putative major teichoic acid biosynthesis protein C
EGD1161	fig|6666666.16889.peg.1182	1174643	1174092	552	0	"transcriptional regulator, AraC family"
EGD1162	fig|6666666.16889.peg.1183	1174957	1175451	495	0	Substrate-specific component CblT of predicted B12-regulated ECF transporter for dimethylbenzimidazole
EGD1163	fig|6666666.16889.peg.1184	1175784	1177142	1359	0	"Cobyrinic acid A,C-diamide synthase"
EGD1164	fig|6666666.16889.peg.1185	1177139	1178086	948	0	Adenosylcobinamide-phosphate synthase
EGD1165	fig|6666666.16889.peg.1186	1178099	1178731	633	0	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)
EGD1166	fig|6666666.16889.peg.1187	1178747	1179868	1122	0	"Cobalt-precorrin-6 synthase, anaerobic"
EGD1167	fig|6666666.16889.peg.1188	1179865	1180461	597	0	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)
EGD1168	fig|6666666.16889.peg.1189	1180451	1181020	570	0	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)
EGD0118	fig|6666666.16889.peg.119	120913	121317	405	6	FIG00774110: hypothetical protein
EGD1169	fig|6666666.16889.peg.1190	1181026	1181775	750	0	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)
EGD1170	fig|6666666.16889.peg.1191	1181762	1182793	1032	0	Cobalamin biosynthesis protein CbiG
EGD1171	fig|6666666.16889.peg.1192	1182790	1183515	726	0	Cobalt-precorrin-3b C17-methyltransferase
EGD1172	fig|6666666.16889.peg.1193	1183512	1184264	753	0	Cobalt-precorrin-6x reductase (EC 1.3.1.54)
EGD1173	fig|6666666.16889.peg.1194	1184264	1185745	1482	0	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107) / Uroporphyrinogen-III synthase (EC 4.2.1.75)
EGD1174	fig|6666666.16889.peg.1195	1185742	1186527	786	0	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)
EGD1175	fig|6666666.16889.peg.1196	1186574	1187230	657	27	Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)
EGD1176	fig|6666666.16889.peg.1197	1187227	1187961	735	0	Substrate-specific component CbiM of cobalt ECF transporter
EGD1177	fig|6666666.16889.peg.1198	1187958	1188254	297	0	Additional substrate-specific component CbiN of cobalt ECF transporter
EGD1178	fig|6666666.16889.peg.1199	1188241	1188918	678	0	Transmembrane component CbiQ of energizing module of cobalt ECF transporter
EGD0011	fig|6666666.16889.peg.12	13844	14815	972	24	Diphosphomevalonate decarboxylase (EC 4.1.1.33)
EGD0119	fig|6666666.16889.peg.120	121304	123172	1869	0	Phage protein
EGD1179	fig|6666666.16889.peg.1200	1188931	1189737	807	0	ATPase component CbiO of energizing module of cobalt ECF transporter
EGD1180	fig|6666666.16889.peg.1201	1189737	1191272	1536	0	Cobyric acid synthase
EGD1181	fig|6666666.16889.peg.1202	1191236	1191802	567	0	Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)
EGD1182	fig|6666666.16889.peg.1203	1192314	1191847	468	0	membrane protein
EGD1183	fig|6666666.16889.peg.1204	1192777	1192328	450	0	hypothetical protein
EGD1184	fig|6666666.16889.peg.1205	1192866	1193396	531	0	FIG00774383: hypothetical protein
EGD1185	fig|6666666.16889.peg.1206	1193427	1193738	312	0	"Transcriptional regulator, PadR family"
EGD1186	fig|6666666.16889.peg.1207	1193741	1194292	552	0	FIG00774857: hypothetical protein
EGD1187	fig|6666666.16889.peg.1208	1194713	1195501	789	0	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
EGD1188	fig|6666666.16889.peg.1209	1195798	1196784	987	14	"N-acetylmuramoyl-L-alanine amidase, family 4"
EGD0120	fig|6666666.16889.peg.121	123169	123987	819	0	Phage tail fiber
EGD1189	fig|6666666.16889.peg.1210	1196896	1197975	1080	0	"Peptidase, M42 family"
EGD1190	fig|6666666.16889.peg.1211	1198001	1198759	759	0	FIG011178: rRNA methylase
EGD1191	fig|6666666.16889.peg.1212	1199163	1198804	360	0	FIG00774663: hypothetical protein
EGD1192	fig|6666666.16889.peg.1213	1199320	1199643	324	0	"Transcriptional regulator, HxlR family"
EGD1193	fig|6666666.16889.peg.1214	1200010	1201062	1053	0	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
EGD1194	fig|6666666.16889.peg.1215	1201062	1203470	2409	0	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
EGD1195	fig|6666666.16889.peg.1216	1203631	1204332	702	0	ABC transporter ATP-binding protein YvcR
EGD1197	fig|6666666.16889.peg.1219	1207853	1208305	453	0	"transcriptional regulator, MarR family"
EGD0121	fig|6666666.16889.peg.122	123997	125133	1137	0	Putative tail or base plate protein gp18 [Bacteriophage A118]
EGD1198	fig|6666666.16889.peg.1220	1208321	1211521	3201	0	membrane protein
EGD1199	fig|6666666.16889.peg.1221	1211628	1212302	675	0	"Uracil-DNA glycosylase, family 1"
EGD1200	fig|6666666.16889.peg.1222	1213221	1212340	882	0	Ribonuclease HIII (EC 3.1.26.4)
EGD1201	fig|6666666.16889.peg.1223	1213420	1213683	264	22	Z-ring-associated protein
EGD1202	fig|6666666.16889.peg.1224	1213683	1214225	543	0	Possible colicin V production protein
EGD1203	fig|6666666.16889.peg.1225	1214318	1216030	1713	0	DNA polymerase X family
