Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	LOGFC_EGD_WT vs EGDe_280212.gr	STAT_EGD_WT vs EGDe_280212_TSTUDENTTILING.gr	CORR_EGD_WT vs EGDe_280212_ARRAYSCORR.gr	STAT_EGD_WT vs EGDe_280212_FDRBY.gr	STAT_EGD_WT vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0202	4.751453830811071	0.0	4.041806053735001	9.762171735437884E-66	0.8506461806543675	5.974357783046856E-62	1.3994073182750205E-62	+	205819	207408	1590	hly		listeriolysin O precursor				ATG	 
lmo0203	4.75589034690976	1.204256827591621E-8	4.386506730220001	1.1655649469186706E-52	0.922331342872576	3.2449113504914108E-6	1.7118510804214893E-5	+	207739	209271	1533	mpl		Zinc metalloproteinase precursor				ATG	 
lmo0204	4.77402234321434	1.3672618592863728E-10	5.06594347678	1.102974989982256E-50	1.0611478356360415	4.736743717520573E-8	1.943562732975579E-7	+	209470	211389	1920	actA		actin-assembly inducing protein precursor				GTG	 
lmo0205	5.77786535380297	0.0	5.1974522824600005	5.4993526849000465E-42	0.8995454141275646	2.9265673044669272E-39	7.883322073804217E-39	+	211425	212294	870	plcB		phospholipase C				ATG	 
lmo0206	6.3865908827734605	1.199040866595169E-14	4.90646347713	2.784809643910541E-10	0.7682445246906601	7.094944999349696E-9	3.992195068204947E-7	+	212366	212689	324			hypothetical protein				ATG	 
lmo0207	5.121902854975491	2.000398313661833E-8	4.334187016235	2.710634855759316E-14	0.8462064078440511	5.160775381824229E-6	2.8435700885653614E-5	+	212824	213285	462			hypothetical protein				ATG	 
lmo0234	2.9336097997822197	4.04050050217819E-6	2.6919050359500005	7.1608691504382395E-34	0.9176084140944162	6.80454204243797E-4	0.005743571463846298	+	254707	255780	1074			hypothetical protein				ATG	 
lmo0235	2.2184823803356597	2.4850595719483337E-4	1.6881499832100004	1.1116107009640923E-16	0.7609481139780704	0.025535891824572297	0.353251218152615	+	255800	256498	699	ispD		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase				ATG	 
lmo0241	-4.776402454129701	5.062501085006943E-9	-3.80247518008	8.419277899924972E-12	0.7960960611249083	1.4278121719804624E-6	7.208414327206912E-6	+	261306	262061	756			hypothetical protein				ATG	 
lmo0252	-3.414768741134309	3.3111955843878604E-8	-3.4722383571599993	2.350219637208307E-8	1.0168297241723607	8.637716574448535E-6	8.075904373145451E-5	+	267530	267916	387			penicilinase repressor				ATG	 
lmo0253	-3.8999584328511494	0.0	-3.301443043529999	2.6144580743401845E-25	0.8465328798687752	3.555608633040016E-23	3.7478256495666543E-22	+	267909	268949	1041			penicillinase antirepressor				ATG	 
lmo0294	-1.9531422788647301	5.974277682574414E-5	-1.6907804071610002	2.543122905025407E-7	0.8656719100585808	0.007710456123936497	0.08528891392623068	-	319560	320423	864			LysR family transcriptional regulator				ATG	 
lmo0360a			-1.5051655448605	2.8891517272900747E-4	1.5051655448604999E-6	0.005630999461417743	0.8283198002140644	-	388451	388678	228			hypothetical protein				ATG	 
lmo0401	3.0891022406456408	4.782412154293869E-4	3.0034825459800003	2.6951406572424746E-24	0.9722833082249341	0.04495246631155931	0.5	+	421469	424096	2628			alpha-mannosidase				ATG	 
lmo0433	2.6793851004531497	2.3655221088048073E-4	2.2258619551600005	1.5847857640971877E-29	0.8307361098572776	0.025204802760712488	0.33625896776660336	+	454534	456936	2403	inlA		internalin A				GTG	 
lmo0434	3.0772335698756415	2.8049134558272293E-4	3.0633895731200003	2.4320715808709543E-39	0.995501155033805	0.027877631192518567	0.39871844774584064	+	457021	458913	1893	inlB		internalin B				GTG	 
lmo0436	-3.6156993707749194	2.886072735019951E-5	-2.9914721933179997	2.419629219889693E-7	0.8273564493490688	0.004072998935228545	0.041372377776979795	-	465934	466419	486			hypothetical protein				TTG	 
lmo0465	-2.63368560859739	4.1963215624551964E-7	-3.4486493911264997	1.7417125497124297E-10	1.3094385221488647	8.341786671093499E-5	5.967567845970074E-4	-	502424	502660	237			hypothetical protein				ATG	 
lmo0470	-2.7881472278229396	1.0811205766514398E-5	-3.1750140854749995	5.316010601648065E-10	1.1387540994218357	0.001680657145965406	0.015368891047219963	+	506368	506997	630			hypothetical protein				TTG	 
lmo0471	-6.301893917602139	0.0	-5.252229451194999	8.711313425673605E-33	0.8334366652102365	2.09068326572416E-30	1.2487667795703112E-29	+	507723	508733	1011			hypothetical protein				ATG	 
lmo0472	-2.9432114201707096	2.4424906541753444E-15	-2.9627598882699995	7.935740541197634E-12	1.006641883748248	2.452895569160601E-10	1.1379356066271719E-8	+	509400	510287	888			hypothetical protein				TTG	 
lmo0473	-2.7778901459592698	9.323969730234971E-5	-2.60324766095	1.21049007839242E-22	0.9371312485976794	0.011305690391146376	0.13254022971529011	+	510190	511212	1023			hypothetical protein				ATG	 
lmo0475	-2.527367495616229	4.5878090119133574E-6	-3.086810507	5.927407707068023E-4	1.22135404224124	0.006169372918109124	0.5065215705104349	+	511966	512208	243			hypothetical protein				GTG	 
lmo0478	-2.7916273581966493	2.619052393076915E-4	-1.6175262054399997	0.001274548805208782	0.5794205307132747	0.03758342552707328	0.8722982976758835	+	514681	515058	378			secreted protein				ATG	 
lmo0487	-4.54776387243941	1.1271425981451699E-7	-3.810606225329999	2.5628387837716307E-13	0.8379076689586344	2.578691498445024E-5	1.6022368770927557E-4	+	521863	522591	729			hypothetical protein				ATG	 
lmo0567	3.4556465720204903	8.926330480263367E-5	3.1732281697659994	2.8273411994476918E-55	0.9182733545319239	0.010932865372387952	0.12688778777694376	-	604121	605404	1284	hisD		histidinol dehydrogenase				ATG	 
lmo0568	3.5579365173912603	5.139240240925602E-5	3.4366060326840002	2.3742774867723953E-28	0.9658986370009149	0.006923929600645318	0.07305430002475743	-	605401	606042	642	hisG		ATP phosphoribosyltransferase				ATG	 
lmo0569	3.4084443919123606	2.2567288539110386E-4	3.0703039571665003	1.2154892901729463E-31	0.9007933250874774	0.02443191968931295	0.32079400658345414	-	606039	607220	1182	hisZ		ATP phosphoribosyltransferase				ATG	 
lmo0706	3.5977406394851297	1.961461607318249E-4	2.3029629652850008	6.327285586752744E-14	0.6401136702323758	0.02182676264398467	0.2788217675709907	+	739723	740598	876	flgL		flagellar hook-associated protein FlgL				ATG	 
lmo0710	3.3621826081100012	4.233313808890138E-4	2.3802140568800008	4.954153719362448E-16	0.7079371748395311	0.04073860478553122	0.5000000000007102	+	742578	742979	402	flgB		flagellar basal-body rod protein FlgB				GTG	 
lmo0714	3.3632275128872102	5.055938108116109E-4	2.41412141533	1.6831668035891884E-22	0.7177990207559771	0.046443404814591055	0.5	+	745437	746543	1107	fliG		flagellar motor switch protein FliG				ATG	 
lmo0715	3.8709078360747204	5.2404851945464515E-5	2.7230968173800005	1.237605332403425E-16	0.7034775646173345	0.006982747518181738	0.07449349704065522	+	746530	747222	693	fliH		flagellar assembly protein H				ATG	 
lmo0718	3.56367213682533	2.452241628883023E-4	2.7418543296500006	1.026265578986483E-14	0.7693901751838934	0.025633122001024276	0.3485861475604332	+	749219	749863	645			hypothetical protein				ATG	 
lmo0804	-4.59575822409098	0.0	-4.514984775192	8.024149860562251E-12	0.9824243476352683	2.4553523268679783E-10	1.1502618825115987E-8	-	833117	833587	471			hypothetical protein				ATG	 
lmo0805	-5.4995854372955595	0.0	-5.4634889561645	2.706123181558528E-17	0.9934365087073164	1.8504157240397798E-15	3.87922758076415E-14	-	833615	834076	462			hypothetical protein				ATG	 
lmo0838	4.7770309258899	3.7673204555943585E-8	3.59853566481	1.4886844616386308E-19	0.7532996375022711	9.13605683148608E-6	5.355246027648721E-5	+	869095	870480	1386	uhpT		sugar:phosphate antiporter				ATG	 
lmo0866a			-2.606483108985	5.718080396313329E-5	2.606483108985E-6	0.001244235275896988	0.16393736496230313	+	907654	907830	177			hypothetical protein				ATG	 
lmo0903	3.170761964485921	4.1419895451255684E-5	2.6336494056150004	9.407168578191771E-7	0.8306045786827132	0.005656856694704055	0.060226898999643744	+	940316	940696	381			hypothetical protein				ATG	 
lmo0914	-4.095022778307391	1.6762551674709414E-5	-4.50458090046	3.547047883333785E-9	1.1000136371211817	0.002509369797127328	0.02383305189874019	+	950363	950668	306			PTS sugar transporter subunit IIB				ATG	 
lmo0947	-3.7740596283427115	8.892857195075266E-8	-4.111163858079999	4.009003506335054E-22	1.089321384115311	2.073644039730643E-5	1.2641196502799547E-4	-	981743	982960	1218			hypothetical protein				ATG	 
lmo1094	-4.84299148757403	1.0897713065283199E-8	-5.413250974555	5.87186508940066E-8	1.1177494299637158	4.031353846764476E-6	9.966428517885853E-5	+	1129043	1129351	309			hypothetical protein				ATG	 
lmo1095	-3.7073677546369987	4.6293530479024625E-6	-4.04661967951	8.427126894461446E-9	1.091507491925688	7.486078743644614E-4	0.006592705643996561	+	1129412	1129816	405			PTS cellbiose transporter subunit IIB				ATG	 
lmo1097	-5.253729921849721	0.0	-4.782191542845	4.4964033305350234E-41	0.9102469319856658	2.1167359824866152E-38	6.445594174321956E-38	-	1131558	1132760	1203			integrase				ATG	 
lmo1097a			-4.990136845297	4.355124950622139E-9	4.990136845297E-6	1.86710734171435E-7	1.2486143233433673E-5	-	1132787	1132987	201			hypothetical protein				ATG	 
lmo1113	-2.67978345225141	1.3036690820977803E-5	-3.8419125237990004	4.27137532847321E-11	1.4336652913395789	0.0020009524566267332	0.01853171723218528	-	1149011	1149385	375			hypothetical protein				ATG	 
lmo1114	-3.546179103001511	2.720589309390675E-10	-4.2716267321865	4.713826977133819E-8	1.204571627127058	9.388639761443133E-7	6.795944148754318E-5	-	1149406	1149720	315			hypothetical protein				ATG	 
lmo1118	-2.9398666675355187	3.944844451098106E-12	-3.466272806307	2.4982715683142197E-19	1.1790578275486099	1.9930347870367335E-9	5.607596745363187E-9	-	1154864	1156381	1518			hypothetical protein				ATG	 
lmo1119	-2.772967270700449	3.298528561401781E-9	-3.537094814433	1.3055986490029296E-16	1.2755631311650977	9.522855519946858E-7	4.688858537190199E-6	-	1156384	1157241	858			methylase				ATG	 
lmo1288	-3.7030576631040093	1.335524045751324E-4	-1.6902160254599996	5.79077152125409E-6	0.45643794378378977	0.015950229644853205	0.19814581407926846	+	1312857	1313324	468			S-ribosylhomocysteinase				ATG	 
lmo1478	-3.2096536696702707	2.632454934037298E-7	-3.349114317795	9.996711644881633E-9	1.0434503726811921	5.43019003477703E-5	3.8853375501633975E-4	+	1511375	1511812	438			MerR family transcriptional regulator				ATG	 
lmo1596a			-1.6337728000889995	7.263275132628393E-5	1.6337728000889996E-6	0.001548800152526128	0.20823809805245605	-	1639998	1640198	201			hypothetical protein				ATG	 
lmo1648	-3.0063219060070887	1.6764367671839864E-14	-2.367575264048	3.147123000159401E-4	0.7875321865290686	0.0030450748513634746	0.45114008209668066	-	1696940	1697302	363			hypothetical protein				ATG	 
lmo1659	-3.758577793707321	2.8832491949515315E-13	-4.409069097525	5.693070877848104E-10	1.1730684688519002	1.402810747333639E-8	8.16511564212588E-7	+	1708312	1708518	207			hypothetical protein				ATG	 
lmo1662	-5.372249019371719	1.949107542031925E-12	-3.2443838598849997	1.548986775755699E-8	0.603915389660107	3.0149202739391736E-7	2.2207496086828947E-5	+	1712634	1713209	576			hypothetical protein				ATG	 
lmo1714	-2.30933113713857	7.629450945834115E-5	-3.073726147991	4.21570544375919E-9	1.3310027732963283	0.009439904959322645	0.10845868840878557	-	1776257	1776829	573			hypothetical protein				ATG	 
lmo1716	-2.7866005935433993	1.879536970506024E-9	-2.121046745899999	5.896933917779688E-9	0.7611592241868103	7.083788118726758E-7	1.1125016574711495E-5	+	1777763	1778338	576			transcriptional regulator				ATG	 
lmo1717	-2.9714006027039694	7.764777709695636E-11	-3.668837072342	2.181836221936311E-17	1.2347164057930675	2.9422210914790277E-8	1.103763464199457E-7	-	1778415	1779482	1068			hypothetical protein				ATG	 
lmo1738	5.18355074702941	1.6869532437624457E-9	5.2154524614805	2.234372552536941E-26	1.006154413452858	5.382892195323168E-7	2.3980040360083166E-6	-	1807643	1808458	816			amino acid ABC transporter substrate-binding protein				ATG	 
lmo1740	3.9082820378021204	2.1833494345813165E-5	3.708618139326001	6.526387241359207E-5	0.9489126177320603	0.003893441984168818	0.12459207331745764	-	1809118	1809759	642			amino acid ABC transporter permease				ATG	 
lmo1786	3.9759786857999693	6.117422294060759E-6	3.7593461922130005	1.7322300011393987E-31	0.9455146743214037	9.760028869784337E-4	0.00869591579100737	-	1860200	1861090	891	inlC		internalin C				TTG	 
lmo1861	-3.7248174434517187	4.482778193093395E-7	-2.7916903324190003	1.9771313010062826E-5	0.7494838001596108	3.1880403892055125E-4	0.02897940412007329	-	1935334	1935948	615			hypothetical protein				GTG	 
lmo1922	-3.8987929726068398	2.529523469796402E-6	-2.119564929621	1.2679032769277484E-12	0.5436464425049481	4.510514413568933E-4	0.0035957194298549327	-	1996784	1998037	1254			hypothetical protein				ATG	 
lmo1998	2.9463357887693213	4.6575683304617144E-4	2.6873735015789997	2.407220173314099E-40	0.912107001456718	0.04412101538033823	0.5	-	2071187	2072182	996			opine catabolism protein				GTG	 
lmo1999	4.6221671892336	3.924607705485528E-8	4.7436921564965004	1.1210686116996443E-39	1.0262917722980616	9.33087366169466E-6	5.578829853347678E-5	-	2072205	2073269	1065			hypothetical protein				ATG	 
lmo2000	5.440899887709531	2.821742839387298E-11	5.209725352883	4.0447156629283605E-40	0.9575117095337976	1.2672138198858144E-8	4.011107446189044E-8	-	2073282	2074103	822			PTS mannose transporter subunit IID				ATG	 
lmo2001	5.7625153155423305	1.4019896354966477E-12	5.089868241189	1.6055530966717697E-39	0.8832719676181849	7.847065747915118E-10	1.9929282668584847E-9	-	2074084	2074902	819			PTS mannose transporter subunit IIC				ATG	 
lmo2002	5.336919739884902	1.0082690238277792E-10	5.162989563465	3.748727382007498E-18	0.9674100071020267	3.5957852307976285E-8	1.4332544711091952E-7	-	2074925	2075392	468			PTS mannose transporter subunit IIB				ATG	 
lmo2003	4.37605769367336	4.415076755082126E-6	5.088637419889	1.7190608060562474E-13	1.1628359989965042	7.333505718077801E-4	0.006276031853776608	-	2075412	2076113	702			GntR family transcriptional regulator				ATG	 
lmo2004	3.5050086925385893	2.3696921041360675E-4	2.6076934730119996	5.134591032420141E-10	0.7439905865463954	0.025121488090462114	0.3368524686465665	-	2076115	2076846	732			GntR family transcriptional regulator				ATG	 
lmo2006	3.1459797828717093	6.471112534711665E-11	2.3668279451379997	3.3833181738493475E-45	0.7523341243399583	2.531124407183468E-8	9.198686468092632E-8	-	2078132	2079829	1698	alsS		acetolactate synthase				ATG	 
lmo2094	3.635358110326621	1.7153861620267108E-4	2.7348693171069995	1.184353897992542E-18	0.7522970871393145	0.01980928664326408	0.24384214293209863	-	2173836	2174486	651			L-fuculose-phosphate aldolase				ATG	 
lmo2095	3.4025410372701996	4.539512344661212E-4	1.8497154688820001	3.1591533720141664E-17	0.5436276737358604	0.04334127804183054	0.5000000000000453	-	2174488	2175420	933			phosphofructokinase				ATG	 
lmo2096	3.5545611924610014	2.531010471646944E-4	2.5398647107679997	8.449494504745053E-25	0.7145367805609568	0.02578951730751992	0.3597831385446131	-	2175438	2176787	1350			PTS galacticol transporter subunit IIC				ATG	 
lmo2097	4.485518477894631	1.931351238049217E-6	3.768929373644	2.2389371479600213E-10	0.8402438630490322	3.4953438605615306E-4	0.002745736736527122	-	2176815	2177090	276			PTS galacticol transporter subunit IIB				ATG	 
lmo2098	4.835003035749791	2.443248026118283E-7	3.777501492322	3.185710956203436E-14	0.7812821345491051	5.197433551005131E-5	3.473077525798805E-4	-	2177096	2177563	468			PTS galacticol transporter subunit IIA				GTG	 
lmo2102	-5.673724007644251	2.2743401606462044E-9	-5.035635039084999	1.1293961991671517E-8	0.887536128352463	8.966622847929625E-7	1.94228690534197E-5	+	2182218	2182784	567			glutamine amidotransferase subunit PdxT				ATG	 
lmo2122	3.437867141127861	3.6572275429769263E-4	4.6302441192220005	2.784951418591493E-29	1.34683625897857	0.03547629045323219	0.5	-	2203996	2204829	834			maltodextrose utilization protein MalA				ATG	 
lmo2123	4.772068578861812	1.8660231204670197E-7	4.339116133255001	7.3354767478828555E-28	0.9092736329220829	4.1900527813436575E-5	2.6525518657438685E-4	-	2204857	2205708	852			sugar ABC transporter permease				ATG	 
lmo2124	4.8017034057772205	1.995321388115201E-7	4.504158038181	4.934927855770189E-41	0.9380333722323987	4.3989234194787514E-5	2.836349353205758E-4	-	2205709	2207016	1308			sugar ABC transporter permease				ATG	 
lmo2125	5.88007342986188	9.318767979493714E-12	5.492838497948	8.337217593221538E-46	0.9341445414699565	4.519753223198402E-9	1.3246628682850314E-8	-	2207103	2208362	1260			sugar ABC transporter substrate-binding protein				ATG	 
lmo2219	2.7199968152197407	5.68629510944163E-5	2.19149335255	1.5655927394748051E-37	0.8056970288669091	0.007494416079811977	0.08083068498071277	+	2306833	2307714	882			foldase				ATG	 
lmo2251	2.47442088747931	2.4771710182713846E-4	2.1115931895900006	1.1801383265353378E-13	0.8533686408301696	0.025535891829180233	0.35212986041645017	+	2341064	2341789	726			amino acid ABC transporter ATP-binding protein				GTG	 
lmo2252	3.0504087761687213	2.6620194773063766E-4	2.7140004017650003	2.503711669360112E-18	0.8897169530090829	0.02667608493726754	0.37840606869910504	+	2341865	2343013	1149			aspartate aminotransferase				ATG	 
lmo2271	-5.11296034326598	0.0	-5.6874467157305	3.918683238387354E-7	1.1123588555153077	6.033201220251938E-6	5.617432422228272E-4	-	2360908	2361141	234			hypothetical protein				ATG	 
lmo2272	-1.69205745817254	1.9520502156500363E-4	-1.7730374978399994	0.0016926745256703242	1.0478589183105635	0.03643932351442426	0.7774839381546527	+	2361582	2361791	210			hypothetical protein				ATG	 
lmo2275	-2.195861704244649	1.5520966620752308E-4	-2.97250124474	4.2212154877392893E-4	1.3536832665709728	0.022079530135106894	0.7206305405139941	+	2362661	2363110	450			protein gp28				ATG	 
lmo2276	-3.2059434541166194	4.809219426027411E-7	-2.65069109567	7.705002062244516E-6	0.8268053175630272	1.8928740910169025E-4	0.011728750997637311	+	2363135	2363632	498			hypothetical protein				GTG	 
lmo2277	-3.70330108729641	0.0	-3.4702648723769993	1.9219263003280443E-7	0.9370733814437059	3.0701462324479915E-6	2.7550813515202514E-4	-	2363709	2364260	552			hypothetical protein				GTG	 
lmo2292	-2.2728166893861896	0.0	-2.044676882446999	2.5488995938430495E-8	0.8996224341344469	4.770344672974145E-7	3.653847567774011E-5	-	2377897	2378304	408			protein gp11				ATG	 
lmo2294	-2.9876215378649693	1.587618925213974E-14	-2.9016696893935006	3.522114815332894E-10	0.971230677185139	8.917724981270345E-9	5.049177267809923E-7	-	2378642	2379004	363			protein gp9				ATG	 
lmo2295	-2.8920236048042494	2.6623592219721104E-11	-1.5486582959729995	4.2865339844140067E-4	0.5354929653410705	0.004038994249331987	0.5000000378454363	-	2379004	2379399	396			protein gp8				ATG	 
lmo2325a			-4.049723662044999	2.0826558185492556E-6	4.049723662044999E-6	5.762777844777619E-5	0.005970974231780716	+	2397294	2397491	198			hypothetical protein				ATG	 
lmo2330	-2.8726086197581795	1.6775620337305952E-8	-3.06654660323	8.598058526810982E-9	1.0675128460375316	4.595643302480527E-6	3.6171861207663956E-5	+	2399542	2400243	702			hypothetical protein				ATG	 
lmo2331	-2.623061486518459	1.9620930096153621E-4	-2.832444905649999	1.6812483029413957E-13	1.079824060628274	0.021826762647833852	0.27891152155783067	+	2400264	2400944	681			hypothetical protein				ATG	 
lmo2342	-3.40992849273343	5.834809081128878E-5	-3.163688548422	1.7695425813302297E-12	0.9277873583460274	0.007607464564621868	0.08294181362488628	-	2411126	2411827	702			16S pseudouridylate synthase				ATG	 
lmo2343	3.5299871795312106	3.2427238346510734E-5	3.2647323695875	2.749686363654513E-11	0.9248567214402924	0.004468107384300807	0.04609535872631903	-	2411900	2413222	1323			nitrilotriacetate monooxygenase				ATG	 
lmo2344	4.427582506239279	2.441733477631658E-7	3.975366719989	1.5703738117835728E-5	0.8978639504485747	2.394970820135112E-4	0.022858401005762856	-	2413219	2413485	267			hypothetical protein				ATG	 
lmo2345	4.3370568530361	2.5728998465091024E-7	4.4269007319735	2.341367531602929E-46	1.0207154026294367	5.378870897870475E-5	3.657377131812689E-4	-	2413478	2414473	996			hypothetical protein				ATG	 
lmo2346	3.8356619629341404	2.6871669497996464E-5	4.018331854946	2.7509381968941453E-22	1.0476240851715004	0.0038332924763026643	0.038198078191401974	-	2414470	2415249	780			amino acid ABC transporter ATP-binding protein				ATG	 
lmo2347	5.25568727008071	2.00628491597854E-9	4.9652698271495	2.9012743908547803E-27	0.944742251963034	6.081754004125472E-7	2.8519340080634947E-6	-	2415246	2415953	708			amino acid ABC transporter permease				ATG	 
lmo2348	5.53455502569816	4.976774548026697E-11	4.460069900238	6.160895285120394E-24	0.8058588051846828	2.0808760059560674E-8	7.074485020020832E-8	-	2415967	2416683	717			amino acid ABC transporter permease				ATG	 
lmo2349	5.333596314524541	8.610845370071729E-11	5.130569656277499	5.074788938847746E-34	0.9619343785553932	3.163938867654385E-8	1.2240316693556963E-7	-	2416705	2417514	810			amino acid ABC transporter substrate-binding protein				ATG	 
lmo2350	5.62796187542645	3.9264147488893286E-11	4.267381945452	1.6290248638115128E-17	0.7582464202689086	1.7003346427491988E-8	5.581400900753323E-8	-	2417531	2418067	537			hypothetical protein				ATG	 
lmo2351	4.637507462464572	3.062939191167402E-7	3.7292058187965003	9.046664719806619E-20	0.8041401224645446	6.189896075052044E-5	4.3539680602457586E-4	-	2418083	2418628	546			FMN reductase				ATG	 
lmo2362	4.51634752088812	9.763325294898095E-7	3.8257226898750005	1.0773215550920622E-28	0.8470833283269329	1.8497541847410374E-4	0.0013878566906697642	+	2431688	2433211	1524			amino acid antiporter				ATG	 
lmo2569	2.8715667851361797	3.4678833977475065E-4	2.719913868086	1.310995571573001E-41	0.947188093331081	0.03391087800676053	0.49295962498980805	-	2647164	2648825	1662			peptide ABC transporter substrate-binding protein				TTG	 
lmo2644a			-2.950372391048	1.5827905731442124E-16	2.950372391048E-6	1.9086759108246127E-14	4.537860573204457E-13	-	2718312	2719055	744			hypothetical protein				ATG	 
lmo2651	-3.449412949599229	3.432448070375127E-4	-3.8827239748175	8.195042571937139E-22	1.1256187738463193	0.033837252888401795	0.4879224932038243	-	2723159	2723593	435			PTS mannitol transporter subunit IIA				ATG	 
lmo2663	3.648042262755081	1.450528327273659E-4	2.9011456209479998	8.518092671382432E-22	0.7952609679354403	0.017075963700462472	0.20619260172195064	-	2736597	2737628	1032			polyol dehydrogenase				TTG	 
lmo2665	3.3568773844926305	5.000563019446069E-4	2.6689693046575	7.014540061019558E-33	0.7950750054163497	0.04628538092332482	0.5	-	2738719	2739990	1272			PTS galacticol transporter subunit IIC				ATG	 
lmo2667	3.5047215342502103	9.686380868290101E-5	2.8622567590549997	3.793732186095456E-20	0.8166859281353268	0.011628840151667905	0.13769190404274384	-	2740390	2740854	465			PTS galacticol transporter subunit IIA				ATG	 
lmo2675	-4.45884360870272	1.7554287677912228E-6	-4.930150721455	6.929484730977725E-11	1.105701646909613	3.274678143369046E-4	0.002495441327578842	+	2747073	2747414	342			hypothetical protein				ATG	 
lmo2681	3.6734071537528203	1.523500025890634E-5	3.5334497709580006	5.511168492902687E-47	0.961899844766231	0.002309131746182338	0.02165655286803536	-	2753523	2755568	2046	kdpB		potassium-transporting ATPase subunit B				ATG	 
lmo2682	3.946984999646089	3.3072081497831363E-6	3.40824542138	1.6594987689926696E-51	0.8635060487145516	5.648061459753174E-4	0.004701196384916728	-	2755580	2757265	1686	kdpA		potassium-transporting ATPase subunit A				ATG	 
