Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	LOGFC_EGD_WT vs EGDe_280212.gr	STAT_EGD_WT vs EGDe_280212_TSTUDENTTILING.gr	CORR_EGD_WT vs EGDe_280212_ARRAYSCORR.gr	STAT_EGD_WT vs EGDe_280212_FDRBY.gr	STAT_EGD_WT vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0023	1.0766439717675107	0.15737528574800752	0.09771042724000001	0.7714504165842254	0.09075463180236845	1.0	1.0	+	25862	26665	804			PTS fructose transporter subunit IIC				ATG	 
lmo0024	0.38067838864084	0.449871024306693	-0.20519156709999997	0.6255558258710046	-0.5390155396858969	1.0	1.0	+	26640	27467	828			PTS mannose transporter subunit IID				ATG	 
lmo0025	0.016463129448790248	0.9867306893535168	-0.6110544208249999	0.027909659532666428	-37.11654110026461	0.6858590920184593	1.0	+	27495	28199	705			phosphoheptose isomerase				ATG	 
lmo0026	-0.7403458184663698	0.2991680243512512	-0.8282122324849999	0.006856569810651014	1.1186829341464315	0.5519647874325078	1.0	+	28254	28895	642			copper homeostasis protein CutC				ATG	 
lmo0027	2.3174998731814807	0.005888183909721789	1.0844230113550002	8.587723999034121E-13	0.46792797009576376	0.37577163838963684	0.5000000012310503	+	29100	31004	1905			PTS beta-glucoside transporter subunit IIABC				ATG	 
lmo0028	-0.45805074101124976	0.6455486325096405	-0.8786142380099995	1.7920033953139794E-5	1.9181591892423566	0.5002119206405519	0.5256883686718259	+	31088	31963	876			microcin C7 self-immunity protein MccF				ATG	 
lmo0029	-1.158508655631401	0.17185664869504802	-1.7427336551549995	8.762483296116425E-9	1.5042905779630873	0.5000001766905374	0.500012561019805	+	32197	32535	339			hypothetical protein				ATG	 
lmo0030	0.4717918482326411	0.6326998695730874	0.08449171681849998	0.8657102733006328	0.17908685182885362	1.0	1.0	-	32571	33380	810			hypothetical protein				TTG	 
lmo0031	0.3687150875413714	0.707193346168294	0.1873136328260001	0.29690806484861	0.5080172717504616	1.0	1.0	-	33397	34452	1056			LacI family transcription regulator				ATG	 
lmo0032	0.20173527236602062	0.7829322864749875	-0.26873186171499963	0.07396797304787275	-1.3321015138464383	0.9453291449182881	1.0	+	34654	35619	966			xylose repressor				TTG	 
lmo0033	0.1847527077525406	0.8114053552127349	-0.23761539130499987	0.036841649601185626	-1.2861267052348917	0.7397314718258572	1.0	+	35616	38018	2403			endoglucanase				ATG	 
lmo0034	0.754891538843431	0.27832592744882634	-0.2553975579599994	0.1978589818490566	-0.33832351380079567	1.0	1.0	+	38031	39383	1353			PTS cellbiose transporter subunit IIC				ATG	 
lmo0035	0.486389673822031	0.565094098760051	-0.15150483893999933	0.22712884068939176	-0.31148860079507906	1.0	1.0	+	39385	40470	1086			glucosamine--fructose-6-phosphate aminotransferase				ATG	 
lmo0036	0.5099243904819009	0.5777445319630123	0.040495833820000104	0.8827879448814038	0.0794153693682504	1.0	1.0	+	40705	41730	1026			putrescine carbamoyltransferase				ATG	 
lmo0037	0.8021229572733599	0.42320473870137665	0.20488653704000104	0.17079735065919532	0.2554303366861206	1.0	1.0	+	41803	43188	1386			amino acid transporter				TTG	 
lmo0038	0.5759736047647701	0.5698025647845903	0.34973521193500035	0.7575569116056492	0.6072070126856483	1.0	1.0	+	43175	44266	1092			agmatine deiminase				ATG	 
lmo0039	0.9189753184394309	0.36372068690849035	0.28788653863000047	0.5351084829877677	0.31326906485244727	1.0	1.0	+	44282	45223	942			carbamate kinase				ATG	 
lmo0040	0.34282758547750003	0.7342417387440041	0.3088215201300004	0.0467622915174347	0.9008070914126266	0.7957941599641887	1.0	+	45325	46434	1110			agmatine deiminase				ATG	 
lmo0041	1.9759168845954012	0.04657970931862976	1.207074102360001	1.118894897956117E-5	0.6108931563723985	0.5001372250923815	0.5160393583622009	+	46451	47230	780			hypothetical protein				ATG	 
lmo0042	0.01372095826894082	0.9891835375957516	-0.5632093456499998	0.1568188616498949	-41.04737691134137	1.0	1.0	+	47335	47994	660			DedA protein				GTG	 
lmo0043	-0.48349115574214885	0.6029973876031859	-0.2248477398799995	0.0031979104772636596	0.4650503679531902	0.5257512012845139	1.0	+	48074	49306	1233			arginine deiminase				ATG	 
lmo0044	0.04251375548470904	0.9245501194048593	-0.8306018769600003	0.0035012775990023557	-19.537250179150693	0.527936755388742	1.0	+	49585	49878	294	rpsF		30S ribosomal protein S6				ATG	 
lmo0045	0.04755801008960958	0.9154038941350653	-0.8548387829899999	1.205137241075822E-6	-17.974654140896533	0.50001733819123	0.5017275642350822	+	49934	50470	537	ssb		single-strand binding protein				ATG	 
lmo0046	0.2314822424056402	0.7758329923082639	-0.49816333766499943	0.43564876196333124	-2.15205854448238	1.0	1.0	+	50514	50753	240	rpsR		30S ribosomal protein S18				ATG	 
lmo0047	1.5920669205554505	0.10890254923612241	1.2498751653699998	1.3396584674886682E-5	0.7850644650878967	0.5001620273617454	0.5192040041314501	+	50907	51518	612			hypothetical protein				ATG	 
lmo0048	-4.33731662056072	7.186275637338646E-6	-4.72623588003	5.287857831038982E-30	1.0896681735489722	0.0011316428373826834	0.010215290818476885	+	51775	52389	615			sensor histidine kinase AgrB				TTG	 
lmo0049	-4.067516805672071	2.4834682394225815E-5	-4.391708436329999	3.514153433925935E-8	1.07970259156787	0.0035855345203090337	0.03535287641286732	+	52373	52534	162			hypothetical protein				ATG	 
lmo0050	-2.2183056000360697	0.025699494610863405	-2.585918278095	2.742599023555249E-31	1.165717779395658	0.5	0.5	+	52630	53925	1296			histidine kinase				ATG	 
lmo0051	-2.684301415072401	0.005822251860856387	-3.2659086203049994	3.4228138506676757E-16	1.2166698575528305	0.3744148105975152	0.5000000000004906	+	53944	54672	729			response regulator				ATG	 
lmo0052	0.0694672330230599	0.9330899319315737	-0.5768954326649998	3.38549023074166E-8	-8.30456904010409	0.5000006250040278	0.5000485310024577	+	54839	56812	1974			hypothetical protein				ATG	 
lmo0053	-0.04449046097053966	0.955596454408353	-0.5213023804399994	0.042459438969048593	11.717171930072636	0.772151341281935	1.0	+	56815	57261	447	rplI		50S ribosomal protein L9				ATG	 
lmo0054	-0.6085345667623905	0.44897501105981164	-0.9995606672399993	9.67630404869314E-12	1.6425700721620462	0.5000000002931588	0.5000000138709818	+	57286	58638	1353	dnaC		replicative DNA helicase				GTG	 
lmo0055	-0.8936052710283384	0.27224962225820903	-1.0058745007399998	2.4884088391843393E-7	1.1256362662033816	0.5000039350980157	0.5003567134070971	+	58897	60189	1293	purA		adenylosuccinate synthetase				ATG	 
lmo0056	-0.03577772330813822	0.971220644947633	-0.4476297269	0.13463828676485856	12.511408930209358	1.0	1.0	+	60506	60799	294			heat shock protein				ATG	 
lmo0057	0.5649723458178793	0.3627149127618754	-0.44422572603999955	1.2692761343820294E-4	-0.7862787078488214	0.5013044250561771	0.6819507338636639	+	60948	64154	3207			hypothetical protein				ATG	 
lmo0058	0.37343262683299994	0.3789969635977539	-0.14745556334000032	0.6885874458605803	-0.39486523871933354	1.0	1.0	+	64144	64659	516			hypothetical protein				ATG	 
lmo0059	0.5003013212303404	0.07638798000951663	-0.31941616530499894	0.9692447716716601	-0.6384475749923887	1.0	1.0	+	64677	64928	252			hypothetical protein				TTG	 
lmo0060	0.47956402741399096	0.17389155691967817	-0.3670571134199996	0.1404064428078352	-0.7653975119846342	1.0	1.0	+	64950	66146	1197			hypothetical protein				ATG	 
lmo0061	0.5623951874662003	0.42879062901422116	-0.5651037769099996	2.5978621443130874E-8	-1.00481616753515	0.5000004847156497	0.5000372403538387	+	66160	70656	4497			hypothetical protein				ATG	 
lmo0062	0.20608414571365152	0.6959844079714121	-0.8378826268899995	0.21861982671563673	-4.065730646035311	1.0	1.0	+	70676	71071	396			hypothetical protein				ATG	 
lmo0063	0.1294884486348904	0.36260863594323833	-0.5984852963199998	0.16406625216550152	-4.621920353741416	1.0	1.0	+	71064	71363	300			hypothetical protein				ATG	 
lmo0064	-0.017804996394890082	0.9511060095115875	-0.6861379887399988	0.07417657672050379	38.53626103158975	0.9463654973179612	1.0	+	71360	72061	702			hypothetical protein				ATG	 
lmo0065	-0.08444592236061865	0.13659407351444575	-0.7341348744199996	0.12997591624991256	8.693550308858528	1.0	1.0	+	72062	72394	333			hypothetical protein				ATG	 
lmo0066	0.0788534320599199	0.873922320339336	-0.917968974219999	5.542540246542465E-7	-11.64145871954494	0.5000083546373987	0.5007945231443418	+	72408	74222	1815			toxin				ATG	 
lmo0067	-2.4141843360337187	6.10411569661462E-5	-2.1944791376099992	3.1139068098996564E-14	0.9089940253755955	0.007791039110275229	0.08677000467201468	+	74239	75228	990			dinitrogenase reductase ADP-ribosylation protein				ATG	 
lmo0068	-1.39751202331564	6.692351999151303E-4	-1.839305257345	0.001500040979632929	1.3161283957909657	0.07173225089489435	1.0	+	75342	75665	324			hypothetical protein				ATG	 
lmo0069	-0.7748250949447186	0.19580230902592977	-1.584354500339999	2.749301432586548E-4	2.044789863773111	0.5026920748139825	0.8941123603612816	+	75832	76125	294			hypothetical protein				ATG	 
lmo0070	-2.051825746730419	1.0981836551238189E-9	-2.321062627769999	4.0781411645585714E-6	1.1312181999220006	5.409044399117732E-5	0.005847576427460471	+	76262	76984	723			hypothetical protein				GTG	 
lmo0071	-1.2073228713854487	0.026322379191629497	-1.8518010939799994	0.004379374992515284	1.5338076813329873	0.5343167289256311	1.0	+	77149	77406	258			hypothetical protein				TTG	 
lmo0072	-1.2582514122074295	0.011914231608466275	-1.51137431106	0.0033777135784733973	1.2011703673819059	0.5270743826276005	1.0	+	77863	78066	204			hypothetical protein				GTG	 
lmo0073	-3.247973490396019	0.0	-3.3515756559449996	9.895001454178942E-11	1.031897478798803	2.685431631209327E-9	1.4184484584565515E-7	+	78090	78374	285			hypothetical protein				ATG	 
lmo0074	-2.81881619766094	3.0375707837926313E-8	-3.634306787299999	6.06364917256835E-6	1.2893025058944088	8.482290318270499E-5	0.008735420157568341	+	78362	78811	450			hypothetical protein				ATG	 
lmo0075	-1.1218138471757015	0.26531089277518916	-1.0764164911499998	1.0221879805321661E-7	0.9595321842924341	0.5000017209614365	0.5001465306470093	+	79047	79820	774			carboxyphosphonoenolpyruvate phosphonomutase				ATG	 
lmo0076	-2.0483947665742104	0.03858135299399945	-1.7473877952599994	6.720824404096834E-14	0.8530522650096285	0.5000000000027329	0.500000000096343	+	79817	80869	1053			O6-methylguanine-DNA methyltransferase				GTG	 
lmo0077	-1.8179812195789191	0.06863592673263741	-1.6009790359029998	1.9640913283318784E-6	0.8806356295989783	0.5000273183072748	0.5028155249191637	-	80892	81530	639			hypothetical protein				ATG	 
lmo0078	-2.079681500203751	0.03345769893135975	-2.5916344793149997	1.1485984308434084E-21	1.24616893455132	0.5	0.5	+	81661	82617	957			phosphoglycerate dehydrogenase				ATG	 
lmo0079	-1.1898089134816008	0.0067007718939459116	-1.4402473038599997	1.0564376143063312E-14	1.2104862281167232	0.4145386185489946	0.500000000015144	+	82959	84437	1479			hypothetical protein				GTG	 
lmo0080	-1.1091728407487693	0.04878450429576342	-1.5598355523599992	9.229423315449139E-4	1.4063052168740455	0.5082038064394243	1.0	+	84451	84849	399			hypothetical protein				ATG	 
lmo0081	-1.0966763820875691	0.002022436145514672	-2.0131851315100002	5.586372743904858E-5	1.835714860274294	0.1578066666978763	0.5800806532838761	+	85025	85627	603			hypothetical protein				ATG	 
lmo0082	-0.46007583989058976	0.5905651049982109	-0.4072589422449995	0.0391922002948896	0.8851995843595034	0.7536780535360108	1.0	+	85902	86228	327			hypothetical protein				ATG	 
lmo0083	-1.0883566178439992	0.2799076295183176	-1.234989950649	3.349520325444671E-4	1.134729123157699	0.5032246088985111	0.9801537386524936	-	86323	86691	369			MerR family transcriptional regulator				ATG	 
lmo0084	-0.8521443237237394	0.3969731819428509	-1.04714629274	1.2974410151685661E-11	1.2288367869002894	0.5000000003873277	0.5000000185988169	-	86747	87730	984			oxidoreductase				ATG	 
lmo0085	0.09546983695682076	0.7360165777686267	-0.6603027091699989	0.1194874407187686	-6.916348976993032	1.0	1.0	+	88121	88810	690			hypothetical protein				ATG	 
lmo0086	0.5470162740643714	0.3677773476930697	-0.5498225365599994	4.3536387730219336E-8	-1.005130126156535	0.5000007871155697	0.5000624094118112	+	88888	94767	5880			hypothetical protein				TTG	 
lmo0087	0.4127569469550796	0.36892188909182133	-0.5159648026799983	6.195844782047857E-4	-1.2500451088377462	0.505646759565661	1.0	+	94764	97070	2307			hypothetical protein				ATG	 
lmo0088	0.10516087813617059	0.8549643533727016	-0.3912135122649998	0.421222954343621	-3.7201430722024376	1.0	1.0	+	97127	97369	243			ATP synthase subunit C				ATG	 
lmo0089	0.6859211441292699	0.27245523480741696	-0.26620771333999915	0.22817098196854713	-0.38810250364556365	1.0	1.0	+	97381	98412	1032			ATP synthase subunit delta				ATG	 
lmo0090	1.0050553358659098	0.1656331951894796	-0.08277413514999932	0.6692496856221238	-0.08235778886610746	1.0	1.0	+	98409	99905	1497			ATP synthase F0F1 subunit alpha				TTG	 
lmo0091	0.6947771464247694	0.3688094871645915	-0.013425295049999342	0.8701984222603507	-0.01932316731931112	1.0	1.0	+	99902	100771	870			ATP synthase subunit gamma				TTG	 
lmo0092	0.5433385390149015	0.4937540081560794	-0.18466393325999952	0.132928796657647	-0.3398690135155956	1.0	1.0	+	100772	102142	1371			ATP synthase F0F1 subunit beta				ATG	 
lmo0093	0.6459665762258506	0.5122646200667751	-0.21676253828499936	0.913856520827098	-0.33556308679539515	1.0	1.0	+	102155	102478	324			ATP synthase subunit epsilon				ATG	 
lmo0094	0.31321912932909957	0.74006593354716	-0.4019087125299996	0.024636449359027743	-1.2831550658826902	0.6663240656268465	1.0	+	102468	103028	561			hypothetical protein				ATG	 
lmo0095	-0.05567602677455952	0.9550656857585819	-0.4994357548199999	0.041066488990447826	8.970391454876788	0.7644746420234434	1.0	+	103204	103836	633			hypothetical protein				ATG	 
lmo0096	-0.7437734621073897	0.21552533560764686	-1.1312784869399994	3.987229130800536E-14	1.520998724174243	0.5000000000017064	0.500000000057157	+	104134	105099	966			PTS mannose transporter subunit IIAB				ATG	 
lmo0097	-0.7958950076283902	0.13729944511836933	-1.3828467117149996	5.623797050832105E-9	1.7374737854376163	0.5000001186796962	0.5000080617130723	+	105123	105929	807			PTS mannose transporter subunit IIC				ATG	 
lmo0098	-0.7013304358704904	0.2269525858496707	-1.2456696993149996	4.10853912754541E-13	1.7761523464597342	0.5000000000148341	0.5000000005889591	+	105951	106862	912			PTS mannose transporter subunit IID				ATG	 
lmo0099	-1.1734037463702904	0.1520998239660154	-0.945475888659999	6.863214061679665E-4	0.8057549599484879	0.5062271650180159	1.0	+	106988	107377	390			hypothetical protein				TTG	 
lmo0100	-0.8862346708335203	0.3768747858425182	-1.4243260053449993	8.279665226331675E-9	1.6071657453949462	0.5000001683414508	0.500011868900102	+	107499	107849	351			hypothetical protein				ATG	 
lmo0101	-1.1203610843580494	0.265837333667143	-1.7097407166190002	3.4273696051721315E-5	1.5260622137716044	0.5003866392880103	0.5491313432901425	-	107915	108208	294			transcriptional regulator				ATG	 
lmo0102	-0.39674834569536976	0.6933463687655964	-1.2407069010400003	0.011771174281406425	3.1271885932263883	0.5852526455409596	1.0	+	108320	108610	291			hypothetical protein				ATG	 
lmo0103	-0.7027857152926504	0.45824142843711957	-1.31646584707	8.159322550373293E-10	1.8732108783995474	0.5000000195820749	0.5000011696388876	+	108624	109256	633			NADH oxidase				ATG	 
lmo0104	-0.09515435641135106	0.9239351336855681	-0.6767756076499993	0.12174446746110468	7.112397510465071	1.0	1.0	+	109349	109720	372			hypothetical protein				GTG	 
lmo0105	0.40783538911439	0.67325417506876	-1.0717483480899999	6.370593585451457E-11	-2.627894431665897	0.5000000017681377	0.500000091322459	+	110013	112283	2271			chitinase B				ATG	 
lmo0106	-0.8789066835277008	0.38291797838723796	-1.8476536423499996	8.637741372197735E-17	2.1022182183596585	0.5000000000000054	0.5000000000001238	+	112386	113288	903			transcriptional regulator				ATG	 
lmo0107	-0.41183669868611084	0.6555058331080948	-0.7083058217150002	4.1278697737070066E-5	1.7198705797096752	0.5004588951294925	0.5591730132060899	-	113313	115094	1782			ABC transporter ATP-binding protein				ATG	 
lmo0108	0.09605209976963014	0.9172348667040888	-0.8270238081389998	2.5853079734186097E-7	-8.610158550646169	0.5000040777945768	0.5003706038979896	-	115087	116829	1743			ABC transporter ATP-binding protein				ATG	 
lmo0109	0.38524498485809033	0.6730909675841945	0.29233774273000024	0.03429673941020669	0.75883594652812	0.7249655272711015	1.0	+	116972	117805	834			AraC family transcriptional regulator				ATG	 
lmo0110	0.021359213843748392	0.9816166179597727	-0.67785960404	1.6984091039691054E-4	-31.736168240967448	0.5017109637597842	0.7434669450539713	+	117841	118956	1116			lipase				ATG	 
lmo0111	-0.24064464107889982	0.8077191310860429	-0.726842455359999	3.40532243610836E-4	3.0203974295928337	0.5032741955635919	0.9881529712161334	+	119063	119770	708			hypothetical protein				ATG	 
lmo0112	-0.4178950929493288	0.6736493215752466	-0.6999121516510001	0.001086734490466517	1.6748513286224846	0.5095693718336788	1.0	-	119740	120435	696			Fnr/Crp family transcriptional regulator				ATG	 
lmo0113	-0.8501278035216702	0.39847485379973024	-1.3279673069664997	0.00945647129772066	1.5620796090486284	0.569894589067648	1.0	-	120654	121106	453			hypothetical protein				TTG	 
lmo0114	-0.8581242766341806	0.39000993289463004	-1.0831262079029995	4.4116167539831353E-4	1.2622020345949698	0.5041345607741324	1.0	-	121112	121447	336			repressor C1				ATG	 
lmo0115	-0.97248071928869	0.3040030019419816	-1.2373716986949996	3.9765117008234566E-7	1.2723868701479872	0.5000061145426209	0.5005700329523131	+	121664	122092	429	lma operon - lmaD		hypothetical protein				ATG	 
lmo0116	-1.8714553614797405	0.046756322565079556	-1.6626251193899995	1.2420665691604137E-7	0.8884129184226862	0.5000020571938337	0.5001780502426891	+	122104	122520	417	lma operon - lmaC		hypothetical protein				ATG	 
lmo0117	-3.630655760744089	1.9240490300886925E-4	-2.5958619014299993	2.611218269108733E-8	0.7149843093078004	0.022009800278446016	0.2735410014409953	+	122798	123187	390	lma operon - lmaB		antigen B				GTG	 
lmo0118	-2.744155267454089	0.005462387061823448	-2.1832877855999997	3.6655219646525534E-15	0.7956137947054146	0.3599655016350979	0.5000000000052546	+	123200	123712	513	lma operon - lmaA		antigen A				ATG	 
lmo0119	-2.9303811129408794	0.0014556115427117877	-1.3127263276099992	4.976213705151347E-5	0.4479711945360479	0.11743385461904166	0.5713340234633446	+	123760	124062	303			hypothetical protein				ATG	 
lmo0120	-2.380262542765971	0.016785895745039525	-1.2328213718199996	2.3550646235484463E-5	0.5179350385388186	0.5002724532172869	0.533759851378567	+	124104	124508	405			hypothetical protein				GTG	 
lmo0121	-2.012399358549019	0.04243901004749262	-1.5673836147749995	1.2829286612091268E-28	0.7788631059319732	0.5	0.5	+	124495	126363	1869			phage tail protein				ATG	 
lmo0122	-1.9561524528402403	0.04984322119512252	-1.6173957017149996	9.440720561381771E-13	0.8268249743861313	0.5000000000323677	0.5000000013533273	+	126360	127178	819			hypothetical protein				ATG	 
lmo0123	-1.2903826568638106	0.17415550190839457	-0.8948380926099997	4.5947938738141286E-8	0.6934672345836113	0.5000008282682973	0.5000658663701811	+	127188	128324	1137			hypothetical protein				ATG	 
lmo0124	-0.74518265524235	0.4564508102485526	-0.7140075775199994	0.03348125577714857	0.9581645150983665	0.7202065055271798	1.0	+	128314	128613	300			hypothetical protein				ATG	 
lmo0125	-0.6970363844310405	0.4897156724508266	-0.7000496534499998	9.26294301497304E-6	1.0043229723530414	0.5001149865005293	0.5132784288119638	+	128628	129203	576			hypothetical protein				ATG	 
lmo0126	-1.01364377155629	0.3134170319018126	-0.8993724800800003	8.212798701208345E-4	0.8872668143554572	0.5073751371673058	1.0	+	129218	129697	480			hypothetical protein				ATG	 
lmo0127	-1.023064488885221	0.3042466032486686	-0.9695904158399995	4.842504051543356E-6	0.9477314737964473	0.500062787440274	0.5069417295578874	+	129694	130230	537			hypothetical protein				ATG	 
lmo0128	-1.3809750152160403	0.16805118864919855	-1.08528783054	3.4754864837523256E-7	0.7858852032672128	0.5000053847220685	0.5004982109874458	+	130249	130671	423			hypothetical protein				ATG	 
lmo0129	-1.4098974755013494	0.15968507216378214	-1.1351961225899998	0.00796438995433277	0.8051621783252944	0.5594769023812111	1.0	+	130652	131380	729			N-acetylmuramoyl-L-alanine amidase				ATG	 
lmo0130	2.0516745444753397	0.018779527756435987	2.0220778830299997	8.63064718007863E-39	0.9855743877482729	0.5	0.5	-	131419	133773	2355			5'-nucleotidase				GTG	 
lmo0131	-3.080086445851391	9.728173325547207E-4	-2.88266254361	1.5756448872635294E-13	0.9359031294373884	0.0807931753337659	0.5000000002258687	+	133961	134710	750			hypothetical protein				ATG	 
lmo0132	-2.1273573514896	0.028712044096324996	-2.14108338436	9.114466824132693E-23	1.0064521519437197	0.5	0.5	-	134782	136290	1509			inosine 5-monophosphate dehydrogenase				ATG	 
lmo0133	-0.27011443524935963	0.7479214663533067	-1.6832627386649996	5.880579896181976E-4	6.231665246291165	0.5053875148013446	1.0	+	136469	136702	234			hypothetical protein				ATG	 
lmo0134	-0.34941248475475994	0.6630301052373225	-1.1422417497499993	9.034440016899141E-6	3.2690353080877967	0.5001122638127671	0.5129508697642249	+	136714	136992	279			hypothetical protein				ATG	 
lmo0135	2.86318974968356	6.265864579146907E-5	2.3775939743850003	4.860359093465828E-9	0.8304004212950862	0.007914284755236374	0.08907623231733376	+	137323	138897	1575			peptide ABC transporter substrate-binding protein				ATG	 
lmo0136	0.7044898377908098	0.39505069354202527	0.4302045361550004	0.017273543043356675	0.6106610955582652	0.6204700485389089	1.0	+	138999	139949	951			peptide ABC transporter permease				ATG	 
lmo0137	0.4436258150129202	0.6076682980217023	0.4881574764800005	0.2180544030637933	1.1003811319361192	1.0	1.0	+	139960	140853	894			peptide ABC transporter permease				ATG	 
lmo0138	0.38940662775994106	0.6045295861457018	-0.5592967918199996	0.38546970987818485	-1.436279590404895	1.0	1.0	+	141052	141336	285			hypothetical protein				ATG	 
lmo0139	0.5837722028013204	0.45916479314569214	-0.9823720533299998	0.005160918580077012	-1.6828003262504396	0.5400054958052654	1.0	+	141337	141705	369			hypothetical protein				ATG	 
lmo0140	-0.5100413613595602	0.5640877413178745	-1.0667733527799994	4.465247497103615E-5	2.091542830833211	0.5004946044703378	0.5640093228709804	+	141618	143006	1389			hypothetical protein				ATG	 
lmo0141	0.0827150432888395	1.0	-0.8119464923099997	0.30534321379139784	-9.816188930406488	1.0	1.0	+	143016	143258	243			hypothetical protein				ATG	 
lmo0142	-0.2401940955298496	0.45195041638799505	-1.2955353558200002	0.03742573318035595	5.393701926611266	0.7432734849913514	1.0	+	143366	143722	357			hypothetical protein				ATG	 
