Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	FC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	STAT_EGD_WT vs EGDe_280212_FDRBH.ge	STAT_EGD_WT vs EGDe_280212_FDRBY.ge	STAT_EGD_WT vs EGDe_280212_FDRBONF.ge	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0019	0.37854821103391956	1.3000329693497474	0.6942890038912002	0.9862092198156546	1.0	1.0	-	23132	23953	822			hypothetical protein				ATG	 
lmo0020	1.2491721523534602	2.3770498392234973	0.21389065829107	0.7691418687553266	1.0	1.0	+	24194	24934	741			GntR family transcriptional regulator				ATG	 
lmo0021	0.4734566097917696	1.3884320851689333	0.6383208359267729	0.9771608559853953	1.0	1.0	+	24950	25351	402			PTS fructose transporter subunit IIA				TTG	 
lmo0022	1.2267893404096508	2.3404555091280335	0.1886950121913058	0.723967502914821	1.0	1.0	+	25351	25839	489			PTS fructose transporter subunit IIB				ATG	 
lmo0023	1.0766439717675107	2.1091240803397544	0.15737528574800752	0.6796445817754602	1.0	1.0	+	25862	26665	804			PTS fructose transporter subunit IIC				ATG	 
lmo0024	0.38067838864084	1.3019539204315902	0.449871024306693	0.9328835318044698	1.0	1.0	+	26640	27467	828			PTS mannose transporter subunit IID				ATG	 
lmo0025	0.016463129448790248	1.0114767298351874	0.9867306893535168	1.0	1.0	1.0	+	27495	28199	705			phosphoheptose isomerase				ATG	 
lmo0026	-0.7403458184663698	-1.6705762331603828	0.2991680243512512	0.8496850082223849	1.0	1.0	+	28254	28895	642			copper homeostasis protein CutC				ATG	 
lmo0027	2.3174998731814807	4.98467648215374	0.005888183909721789	0.08810582555441604	0.7515432767200556	1.0	+	29100	31004	1905			PTS beta-glucoside transporter subunit IIABC				ATG	 
lmo0028	-0.45805074101124976	-1.3736845464239253	0.6455486325096405	0.9777809068859391	1.0	1.0	+	31088	31963	876			microcin C7 self-immunity protein MccF				ATG	 
lmo0029	-1.158508655631401	-2.2322655429653353	0.17185664869504802	0.6942326724780341	1.0	1.0	+	32197	32535	339			hypothetical protein				ATG	 
lmo0030	0.4717918482326411	1.3868308630017452	0.6326998695730874	0.9797473796828543	1.0	1.0	-	32571	33380	810			hypothetical protein				TTG	 
lmo0031	0.3687150875413714	1.2912023303930051	0.707193346168294	0.9892365178515855	1.0	1.0	-	33397	34452	1056			LacI family transcription regulator				ATG	 
lmo0032	0.20173527236602062	1.1500808396587603	0.7829322864749875	0.9963435730858701	1.0	1.0	+	34654	35619	966			xylose repressor				TTG	 
lmo0033	0.1847527077525406	1.1366221282245763	0.8114053552127349	1.0	1.0	1.0	+	35616	38018	2403			endoglucanase				ATG	 
lmo0034	0.754891538843431	1.6875047216541081	0.27832592744882634	0.8294346034979174	1.0	1.0	+	38031	39383	1353			PTS cellbiose transporter subunit IIC				ATG	 
lmo0035	0.486389673822031	1.4009346640789118	0.565094098760051	0.9713195421855049	1.0	1.0	+	39385	40470	1086			glucosamine--fructose-6-phosphate aminotransferase				ATG	 
lmo0036	0.5099243904819009	1.423975565183452	0.5777445319630123	0.9759791305295705	1.0	1.0	+	40705	41730	1026			putrescine carbamoyltransferase				ATG	 
lmo0037	0.8021229572733599	1.7436650809351961	0.42320473870137665	0.9255162093292414	1.0	1.0	+	41803	43188	1386			amino acid transporter				TTG	 
lmo0038	0.5759736047647701	1.4906831133348426	0.5698025647845903	0.9741122619859233	1.0	1.0	+	43175	44266	1092			agmatine deiminase				ATG	 
lmo0039	0.9189753184394309	1.8907718859861111	0.36372068690849035	0.8919405709779173	1.0	1.0	+	44282	45223	942			carbamate kinase				ATG	 
lmo0040	0.34282758547750003	1.268239824651967	0.7342417387440041	0.9910283890128393	1.0	1.0	+	45325	46434	1110			agmatine deiminase				ATG	 
lmo0041	1.9759168845954012	3.933781659661824	0.04657970931862976	0.38384380751554903	1.0	1.0	+	46451	47230	780			hypothetical protein				ATG	 
lmo0042	0.01372095826894082	1.0095560134271688	0.9891835375957516	1.0	1.0	1.0	+	47335	47994	660			DedA protein				GTG	 
lmo0043	-0.48349115574214885	-1.3981228722875736	0.6029973876031859	0.9886514261567806	1.0	1.0	+	48074	49306	1233			arginine deiminase				ATG	 
lmo0044	0.04251375548470904	1.0299067763519436	0.9245501194048593	1.0	1.0	1.0	+	49585	49878	294	rpsF		30S ribosomal protein S6				ATG	 
lmo0045	0.04755801008960958	1.0335140561781968	0.9154038941350653	1.0	1.0	1.0	+	49934	50470	537	ssb		single-strand binding protein				ATG	 
lmo0046	0.2314822424056402	1.1740405533221596	0.7758329923082639	0.9945603319897439	1.0	1.0	+	50514	50753	240	rpsR		30S ribosomal protein S18				ATG	 
lmo0047	1.5920669205554505	3.0148096602142656	0.10890254923612241	0.588612067449232	1.0	1.0	+	50907	51518	612			hypothetical protein				ATG	 
lmo0048	-4.33731662056072	-20.214472064771893	7.186275637338646E-6	2.6533222905134767E-4	0.0022632856747653667	0.02043058163695377	+	51775	52389	615			sensor histidine kinase AgrB				TTG	 
lmo0049	-4.067516805672071	-16.766583123507672	2.4834682394225815E-5	8.405357386521904E-4	0.007169775429172146	0.070605002046784	+	52373	52534	162			hypothetical protein				ATG	 
lmo0050	-2.2183056000360697	-4.653465785926481	0.025699494610863405	0.26763246585598777	1.0	1.0	+	52630	53925	1296			histidine kinase				ATG	 
lmo0051	-2.684301415072401	-6.427694739955178	0.005822251860856387	0.08778769502526061	0.7488296211949906	1.0	+	53944	54672	729			response regulator				ATG	 
lmo0052	0.0694672330230599	1.0493291095906814	0.9330899319315737	1.0	1.0	1.0	+	54839	56812	1974			hypothetical protein				ATG	 
lmo0053	-0.04449046097053966	-1.0313188680573793	0.955596454408353	1.0	1.0	1.0	+	56815	57261	447	rplI		50S ribosomal protein L9				ATG	 
lmo0054	-0.6085345667623905	-1.5247096816148538	0.44897501105981164	0.9330672196221086	1.0	1.0	+	57286	58638	1353	dnaC		replicative DNA helicase				GTG	 
lmo0055	-0.8936052710283384	-1.8578129715309568	0.27224962225820903	0.8263114750289896	1.0	1.0	+	58897	60189	1293	purA		adenylosuccinate synthetase				ATG	 
lmo0056	-0.03577772330813822	-1.0251092866594258	0.971220644947633	1.0	1.0	1.0	+	60506	60799	294			heat shock protein				ATG	 
lmo0057	0.5649723458178793	1.479359152001915	0.3627149127618754	0.8936034045271823	1.0	1.0	+	60948	64154	3207			hypothetical protein				ATG	 
lmo0058	0.37343262683299994	1.2954314069025463	0.3789969635977539	0.9036223391906726	1.0	1.0	+	64144	64659	516			hypothetical protein				ATG	 
lmo0059	0.5003013212303404	1.4145089658108374	0.07638798000951663	0.5072440249885466	1.0	1.0	+	64677	64928	252			hypothetical protein				TTG	 
lmo0060	0.47956402741399096	1.3943222480202935	0.17389155691967817	0.6985505790979768	1.0	1.0	+	64950	66146	1197			hypothetical protein				ATG	 
lmo0061	0.5623951874662003	1.4767188576607542	0.42879062901422116	0.9249254615230885	1.0	1.0	+	66160	70656	4497			hypothetical protein				ATG	 
lmo0062	0.20608414571365152	1.1535528844900362	0.6959844079714121	0.9861651819073278	1.0	1.0	+	70676	71071	396			hypothetical protein				ATG	 
lmo0063	0.1294884486348904	1.0939057549604096	0.36260863594323833	0.8943612289523086	1.0	1.0	+	71064	71363	300			hypothetical protein				ATG	 
lmo0064	-0.017804996394890082	-1.0124179534150437	0.9511060095115875	1.0	1.0	1.0	+	71360	72061	702			hypothetical protein				ATG	 
lmo0065	-0.08444592236061865	-1.0602804546570601	0.13659407351444575	0.640820051157705	1.0	1.0	+	72062	72394	333			hypothetical protein				ATG	 
lmo0066	0.0788534320599199	1.0561783194140686	0.873922320339336	1.0	1.0	1.0	+	72408	74222	1815			toxin				ATG	 
lmo0067	-2.4141843360337187	-5.330180304669322	6.10411569661462E-5	0.0018267369395237227	0.015582078217828055	0.17354000925475366	+	74239	75228	990			dinitrogenase reductase ADP-ribosylation protein				ATG	 
lmo0068	-1.39751202331564	-2.6344686709563865	6.692351999151303E-4	0.013787215024338518	0.11760503566061872	1.0	+	75342	75665	324			hypothetical protein				ATG	 
lmo0069	-0.7748250949447186	-1.710982607906797	0.19580230902592977	0.7382837726269473	1.0	1.0	+	75832	76125	294			hypothetical protein				ATG	 
lmo0070	-2.051825746730419	-4.1463035701753945	1.0981836551238189E-9	8.438205760856803E-8	7.197795114280629E-7	3.122136131517017E-6	+	76262	76984	723			hypothetical protein				GTG	 
lmo0071	-1.2073228713854487	-2.3090875449793704	0.026322379191629497	0.2715993282687486	1.0	1.0	+	77149	77406	258			hypothetical protein				TTG	 
lmo0072	-1.2582514122074295	-2.3920564105284376	0.011914231608466275	0.15121500206638225	1.0	1.0	+	77863	78066	204			hypothetical protein				GTG	 
lmo0073	-3.247973490396019	-9.500302758376272	0.0	0.0	0.0	0.0	+	78090	78374	285			hypothetical protein				ATG	 
lmo0074	-2.81881619766094	-7.05583193669618	3.0375707837926313E-8	1.7991278621505105E-6	1.534657260459859E-5	8.635813738322451E-5	+	78362	78811	450			hypothetical protein				ATG	 
lmo0075	-1.1218138471757015	-2.176204066773564	0.26531089277518916	0.8233207636858259	1.0	1.0	+	79047	79820	774			carboxyphosphonoenolpyruvate phosphonomutase				ATG	 
lmo0076	-2.0483947665742104	-4.136454653770348	0.03858135299399945	0.35067969464315685	1.0	1.0	+	79817	80869	1053			O6-methylguanine-DNA methyltransferase				GTG	 
lmo0077	-1.8179812195789191	-3.525874732917391	0.06863592673263741	0.4806205411351925	1.0	1.0	-	80892	81530	639			hypothetical protein				ATG	 
lmo0078	-2.079681500203751	-4.227138845468263	0.03345769893135975	0.31706746020618587	1.0	1.0	+	81661	82617	957			phosphoglycerate dehydrogenase				ATG	 
lmo0079	-1.1898089134816008	-2.281225260972971	0.0067007718939459116	0.09719538007391952	0.8290772370969907	1.0	+	82959	84437	1479			hypothetical protein				GTG	 
lmo0080	-1.1091728407487693	-2.157219291575833	0.04878450429576342	0.39068829778269126	1.0	1.0	+	84451	84849	399			hypothetical protein				ATG	 
lmo0081	-1.0966763820875691	-2.1386143990075848	0.002022436145514672	0.03685760231857829	0.314395592394068	1.0	+	85025	85627	603			hypothetical protein				ATG	 
lmo0082	-0.46007583989058976	-1.3756141298064943	0.5905651049982109	0.9847370049911517	1.0	1.0	+	85902	86228	327			hypothetical protein				ATG	 
lmo0083	-1.0883566178439992	-2.1263168851680265	0.2799076295183176	0.8332747546812325	1.0	1.0	-	86323	86691	369			MerR family transcriptional regulator				ATG	 
lmo0084	-0.8521443237237394	-1.8051820319383673	0.3969731819428509	0.9098024214223442	1.0	1.0	-	86747	87730	984			oxidoreductase				ATG	 
lmo0085	0.09546983695682076	1.0684132974548242	0.7360165777686267	0.9908845645454821	1.0	1.0	+	88121	88810	690			hypothetical protein				ATG	 
lmo0086	0.5470162740643714	1.4610608596894374	0.3677773476930697	0.8949278688980735	1.0	1.0	+	88888	94767	5880			hypothetical protein				TTG	 
lmo0087	0.4127569469550796	1.3312273204362288	0.36892188909182133	0.8949188828396314	1.0	1.0	+	94764	97070	2307			hypothetical protein				ATG	 
lmo0088	0.10516087813617059	1.075614327918569	0.8549643533727016	1.0	1.0	1.0	+	97127	97369	243			ATP synthase subunit C				ATG	 
lmo0089	0.6859211441292699	1.608728808416006	0.27245523480741696	0.8242607124210436	1.0	1.0	+	97381	98412	1032			ATP synthase subunit delta				ATG	 
lmo0090	1.0050553358659098	2.007020476618259	0.1656331951894796	0.6914760263196631	1.0	1.0	+	98409	99905	1497			ATP synthase F0F1 subunit alpha				TTG	 
lmo0091	0.6947771464247694	1.6186343827996694	0.3688094871645915	0.8949188828396314	1.0	1.0	+	99902	100771	870			ATP synthase subunit gamma				TTG	 
lmo0092	0.5433385390149015	1.4573410495862693	0.4937540081560794	0.9510350392230575	1.0	1.0	+	100772	102142	1371			ATP synthase F0F1 subunit beta				ATG	 
lmo0093	0.6459665762258506	1.5647873106946932	0.5122646200667751	0.9587678175443328	1.0	1.0	+	102155	102478	324			ATP synthase subunit epsilon				ATG	 
lmo0094	0.31321912932909957	1.242476985886691	0.74006593354716	0.9915895380197632	1.0	1.0	+	102468	103028	561			hypothetical protein				ATG	 
lmo0095	-0.05567602677455952	-1.0393460122547256	0.9550656857585819	1.0	1.0	1.0	+	103204	103836	633			hypothetical protein				ATG	 
lmo0096	-0.7437734621073897	-1.6745500096606718	0.21552533560764686	0.7693210370681065	1.0	1.0	+	104134	105099	966			PTS mannose transporter subunit IIAB				ATG	 
lmo0097	-0.7958950076283902	-1.7361541017008622	0.13729944511836933	0.641455642471608	1.0	1.0	+	105123	105929	807			PTS mannose transporter subunit IIC				ATG	 
lmo0098	-0.7013304358704904	-1.6260035823077796	0.2269525858496707	0.7897505527180096	1.0	1.0	+	105951	106862	912			PTS mannose transporter subunit IID				ATG	 
lmo0099	-1.1734037463702904	-2.2554319313650226	0.1520998239660154	0.6715743164256593	1.0	1.0	+	106988	107377	390			hypothetical protein				TTG	 
lmo0100	-0.8862346708335203	-1.848345775003161	0.3768747858425182	0.9034190692666773	1.0	1.0	+	107499	107849	351			hypothetical protein				ATG	 
lmo0101	-1.1203610843580494	-2.174013779144477	0.265837333667143	0.8232849015421433	1.0	1.0	-	107915	108208	294			transcriptional regulator				ATG	 
lmo0102	-0.39674834569536976	-1.3165372538650615	0.6933463687655964	0.9871926498317924	1.0	1.0	+	108320	108610	291			hypothetical protein				ATG	 
lmo0103	-0.7027857152926504	-1.6276445967655346	0.45824142843711957	0.9365804505673324	1.0	1.0	+	108624	109256	633			NADH oxidase				ATG	 
lmo0104	-0.09515435641135106	-1.0681796883070813	0.9239351336855681	1.0	1.0	1.0	+	109349	109720	372			hypothetical protein				GTG	 
lmo0105	0.40783538911439	1.3266937567720836	0.67325417506876	0.9825778335320763	1.0	1.0	+	110013	112283	2271			chitinase B				ATG	 
lmo0106	-0.8789066835277008	-1.8389811393868913	0.38291797838723796	0.9033735953939631	1.0	1.0	+	112386	113288	903			transcriptional regulator				ATG	 
lmo0107	-0.41183669868611084	-1.330378444566605	0.6555058331080948	0.9803277661895391	1.0	1.0	-	113313	115094	1782			ABC transporter ATP-binding protein				ATG	 
lmo0108	0.09605209976963014	1.068844589493956	0.9172348667040888	0.9997775461896601	1.0	1.0	-	115087	116829	1743			ABC transporter ATP-binding protein				ATG	 
lmo0109	0.38524498485809033	1.30608155470414	0.6730909675841945	0.9825778335320763	1.0	1.0	+	116972	117805	834			AraC family transcriptional regulator				ATG	 
lmo0110	0.021359213843748392	1.0149152168976057	0.9816166179597727	1.0	1.0	1.0	+	117841	118956	1116			lipase				ATG	 
lmo0111	-0.24064464107889982	-1.1815204836491453	0.8077191310860429	1.0	1.0	1.0	+	119063	119770	708			hypothetical protein				ATG	 
lmo0112	-0.4178950929493288	-1.335976927924392	0.6736493215752466	0.9821461647376545	1.0	1.0	-	119740	120435	696			Fnr/Crp family transcriptional regulator				ATG	 
lmo0113	-0.8501278035216702	-1.802660609814387	0.39847485379973024	0.9090490446038314	1.0	1.0	-	120654	121106	453	lma operon - 		hypothetical protein				TTG	 
lmo0114	-0.8581242766341806	-1.8126800176889475	0.39000993289463004	0.9066216183315071	1.0	1.0	-	121112	121447	336	lma operon - 		repressor C1				ATG	 
lmo0115	-0.97248071928869	-1.962211726096537	0.3040030019419816	0.851691758215475	1.0	1.0	+	121664	122092	429	lma operon - lmaD		hypothetical protein				ATG	 
lmo0116	-1.8714553614797405	-3.659015079927803	0.046756322565079556	0.3837317356729313	1.0	1.0	+	122104	122520	417	lma operon - lmaC		hypothetical protein				ATG	 
lmo0117	-3.630655760744089	-12.386148653051734	1.9240490300886925E-4	0.005160444709945427	0.044018627624682366	0.5470071392542153	+	122798	123187	390	lma operon - lmaB		antigen B				GTG	 
lmo0118	-2.744155267454089	-6.699972933780619	0.005462387061823448	0.08439981748241339	0.7199310032698325	1.0	+	123200	123712	513	lma operon - lmaA		antigen A				ATG	 
lmo0119	-2.9303811129408794	-7.623117497215206	0.0014556115427117877	0.02740598421145439	0.2337732272117867	1.0	+	123760	124062	303	lma operon - 		hypothetical protein				ATG	 
lmo0120	-2.380262542765971	-5.206314784779286	0.016785895745039525	0.19478490450264233	1.0	1.0	+	124104	124508	405	lma operon - 		hypothetical protein				GTG	 
lmo0121	-2.012399358549019	-4.034526479448299	0.04243901004749262	0.36504361235361077	1.0	1.0	+	124495	126363	1869	lma operon - 		phage tail protein				ATG	 
lmo0122	-1.9561524528402403	-3.8802576552847836	0.04984322119512252	0.39582200518919924	1.0	1.0	+	126360	127178	819	lma operon - 		hypothetical protein				ATG	 
lmo0123	-1.2903826568638106	-2.4459292215711934	0.17415550190839457	0.6956989507922672	1.0	1.0	+	127188	128324	1137	lma operon - 		hypothetical protein				ATG	 
lmo0124	-0.74518265524235	-1.676186472786584	0.4564508102485526	0.9393183677379894	1.0	1.0	+	128314	128613	300			hypothetical protein				ATG	 
lmo0125	-0.6970363844310405	-1.6211711248111371	0.4897156724508266	0.9519035532936276	1.0	1.0	+	128628	129203	576			hypothetical protein				ATG	 
lmo0126	-1.01364377155629	-2.0190040037126504	0.3134170319018126	0.8640062822582844	1.0	1.0	+	129218	129697	480			hypothetical protein				ATG	 
lmo0127	-1.023064488885221	-2.0322311252756675	0.3042466032486686	0.8513514695235874	1.0	1.0	+	129694	130230	537			hypothetical protein				ATG	 
lmo0128	-1.3809750152160403	-2.6044432746536237	0.16805118864919855	0.6934245708703505	1.0	1.0	+	130249	130671	423			hypothetical protein				ATG	 
lmo0129	-1.4098974755013494	-2.6571827899383686	0.15968507216378214	0.6816586488913403	1.0	1.0	+	130652	131380	729			N-acetylmuramoyl-L-alanine amidase				ATG	 
lmo0130	2.0516745444753397	4.1458690378725995	0.018779527756435987	0.20937332318253926	1.0	1.0	-	131419	133773	2355			5'-nucleotidase				GTG	 
lmo0131	-3.080086445851391	-8.456651029287235	9.728173325547207E-4	0.01894328545515802	0.16158635065532573	1.0	+	133961	134710	750			hypothetical protein				ATG	 
lmo0132	-2.1273573514896	-4.369164278620841	0.028712044096324996	0.2834317408536527	1.0	1.0	-	134782	136290	1509			inosine 5-monophosphate dehydrogenase				ATG	 
lmo0133	-0.27011443524935963	-1.2059034767283388	0.7479214663533067	0.9908391094326425	1.0	1.0	+	136469	136702	234			hypothetical protein				ATG	 
lmo0134	-0.34941248475475994	-1.2740416878860812	0.6630301052373225	0.9792179684102379	1.0	1.0	+	136714	136992	279			hypothetical protein				ATG	 
lmo0135	2.86318974968356	7.276222952755483	6.265864579146907E-5	0.0018556096873452766	0.01582836294836861	0.17813852998514657	+	137323	138897	1575			peptide ABC transporter substrate-binding protein				ATG	 
lmo0136	0.7044898377908098	1.6295683190382306	0.39505069354202527	0.9086805192071018	1.0	1.0	+	138999	139949	951			peptide ABC transporter permease				ATG	 
lmo0137	0.4436258150129202	1.360018065206501	0.6076682980217023	0.9877649921530587	1.0	1.0	+	139960	140853	894			peptide ABC transporter permease				ATG	 
lmo0138	0.38940662775994106	1.3098545573467075	0.6045295861457018	0.9894517060519461	1.0	1.0	+	141052	141336	285			hypothetical protein				ATG	 
lmo0139	0.5837722028013204	1.4987629329215482	0.45916479314569214	0.9350212459731365	1.0	1.0	+	141337	141705	369			hypothetical protein				ATG	 
lmo0140	-0.5100413613595602	-1.424091023003306	0.5640877413178745	0.9716046332694444	1.0	1.0	+	141618	143006	1389			hypothetical protein				ATG	 
lmo0141	0.0827150432888395	1.059009141778892	1.0	1.0	1.0	1.0	+	143016	143258	243			hypothetical protein				ATG	 
lmo0142	-0.2401940955298496	-1.181151559055283	0.45195041638799505	0.9331118618671531	1.0	1.0	+	143366	143722	357			hypothetical protein				ATG	 
lmo0143	-0.03178909172236022	-1.0222790722192718	1.0	1.0	1.0	1.0	+	144097	144273	177			hypothetical protein				ATG	 
lmo0144	-0.07938642761810044	-1.0565685906335194	0.7180104131004306	0.9880462751425576	1.0	1.0	+	144397	144840	444			hypothetical protein				ATG	 
lmo0146	-0.07251395206638911	-1.0515474502872257	0.7768648244662626	0.994876890070984	1.0	1.0	+	145354	145560	207			hypothetical protein				GTG	 
lmo0147	0.8216241477545694	1.7673945588806272	0.07554089795055297	0.5099311678011296	1.0	1.0	+	145869	146306	438			hypothetical protein				TTG	 
lmo0148	0.6472539110652704	1.5661842131384487	0.26818234350182113	0.8224837136738701	1.0	1.0	+	146306	146656	351			hypothetical protein				ATG	 
lmo0149	-0.7227634184276504	-1.6503401624000895	0.034993581851204825	0.3251201085064553	1.0	1.0	+	146764	147381	618			hypothetical protein				ATG	 
lmo0150	-0.61201533636675	-1.5283927680431963	0.14309986196805213	0.6509326521202755	1.0	1.0	+	147399	147764	366			hypothetical protein				ATG	 
lmo0151	-1.1429127632689404	-2.2082641612053826	0.0018808465895204796	0.03449836680004338	0.2942712977631871	1.0	+	147884	148291	408			hypothetical protein				TTG	 
lmo0152	3.3465909396190305	10.17241936688628	2.610568496930199E-6	1.075629889387327E-4	9.175130095216104E-4	0.007421846236772556	-	148354	150009	1656			peptide ABC transporter substrate-binding protein				ATG	 
lmo0153	0.9513488616836989	1.9336797255142522	0.28280860753462234	0.8357909729928106	1.0	1.0	+	150232	151173	942			zinc ABC transporter substrate-binding protein				ATG	 
lmo0154	0.5746494345898903	1.4893155252689103	0.49147395538673466	0.9506131302953871	1.0	1.0	+	151186	151890	705			zinc ABC transporter ATP-binding protein				ATG	 
lmo0155	0.5985056471050996	1.514147390266691	0.4678354903282891	0.9404364358405598	1.0	1.0	+	151839	152645	807			zinc ABC transporter permease				ATG	 
lmo0156	0.36778938771245073	1.290374101033648	0.20523742544049162	0.7548382930495701	1.0	1.0	-	152648	153328	681			hypothetical protein				ATG	 
lmo0157	0.24775001102573047	1.1873539045683135	0.806840000271196	1.0	1.0	1.0	+	153608	155947	2340			ATP-dependent helicase				ATG	 
lmo0158	-0.08259657911242968	-1.0589221868149938	0.9323470121990368	1.0	1.0	1.0	+	155993	156805	813			hypothetical protein				ATG	 
lmo0159	0.10262103085021046	1.073722387675112	0.8905060065049917	0.9996465332226683	1.0	1.0	+	157089	159470	2382			peptidoglycan binding protein				ATG	 
lmo0160	2.29781515371534	4.9171254186133035	0.02138963515490344	0.22861549135623319	1.0	1.0	+	159663	161378	1716			peptidoglycan binding protein				ATG	 
lmo0161	-0.5019387199435386	-1.4161152858848614	0.5328311878624439	0.9636380833924477	1.0	1.0	-	161420	162250	831			hypothetical protein				ATG	 
lmo0162	-0.7891684159200913	-1.728078093713579	0.3271007960119735	0.8642635344442758	1.0	1.0	+	162467	163459	993			DNA polymerase III subunit delta'				GTG	 
lmo0163	-1.0131452749669396	-2.0183064947323883	0.2300749832946436	0.7928523363717234	1.0	1.0	+	163465	164298	834			hypothetical protein				ATG	 
lmo0164	-0.48410560088643884	-1.3987184609261494	0.554880014939598	0.9711027729387897	1.0	1.0	+	164309	164698	390			DNA replication intiation control protein YabA				TTG	 
lmo0165	0.5735303531547302	1.4881607288157215	0.5432350074079144	0.9658643690185745	1.0	1.0	+	164756	165508	753			hypothetical protein				TTG	 
lmo0166	0.776199733778709	1.7126136553166413	0.4299836276476152	0.9256270577721682	1.0	1.0	+	165492	165764	273			GIY-YIG nuclease				ATG	 
lmo0167	0.11641361520131177	1.0840367115153628	0.8989101592725735	1.0	1.0	1.0	+	165761	166642	882			hypothetical protein				GTG	 
lmo0168	0.1202247071069209	1.0869041402032398	0.9018779765153087	1.0	1.0	1.0	-	166687	166971	285			AbrB family transcriptional regulator				ATG	 
lmo0169	0.4060256502123103	1.325030575047744	0.6265288372359812	0.9812565940296948	1.0	1.0	+	167086	167943	858			glucose transporter				ATG	 
lmo0170	0.5096865581761616	1.423740838183783	0.5286002203440374	0.9630246525134943	1.0	1.0	+	168005	169270	1266			hypothetical protein				TTG	 
lmo0171	1.4918901241493892	2.812572185788701	0.13086566678226497	0.6274048746407744	1.0	1.0	+	169510	172008	2499			internalin				ATG	 
lmo0174	0.6525310884785815	1.5719235872510318	0.44023038107743706	0.934011174181458	1.0	1.0	-	172903	173208	306			transposase				ATG	 
lmo0175	0.7112434488383697	1.6372146130869014	0.2836150345638828	0.8364289867895425	1.0	1.0	-	173309	174556	1248			peptidoglycan-binding protein				ATG	 
lmo0176	0.1915828413126306	1.142015982476861	0.8420583570908526	1.0	1.0	1.0	+	174834	175694	861			glucose transporter				TTG	 
