From	To	St	Locus	Product	Major Pillar	Stop	# major	Repeat?	Sum (excluding BL)	Bl	Hypo	Stat	WT30	WT	prfA	sigB		Known?	Description	Notes		
48074	49306	+	lmo0043		48637	48074																
172072	172458	-	rli23-lmo0172		172171	172458													rli23			
245286	248216	+	lmor05	23S ribosomal RNA	245416	245286	3	Y	1479	14	23	1	12	871	495	77			Expressed in repetitive region			
356890	357705	+	rli25-lmo0331		357516	356890													rli25			
387697	388467	+	lmo0360		388640	388392													Overlaps with rli26.  May not extend very far into the ORF			
411992	412363	+	lmo0387	hypothetical protein	412094	411992	35		58	0	7	7	6	3	18	17			"Cell membrane protein, amino acid transporter similar to yhdG. Was shown to be repressed by codY (which is a part the clpQ operon), that has a highly expressed asRNA."			
441622	442872	-	lmo0421	hypothetical protein	441667	442872	5		23	0	4	2	2	4	5	6			"Operon of sigma factors and regulators. (lmo421, lstR, lmo0423 - lineage-specific thermal regulator operon)"			
444031	444888	-	lmo0424	hypothetical protein	444758	444888	10		29	0	11	3	7	2	0	6			xylosus glucose uptake protein			
470122	472158	-	lmo0441	hypothetical protein	471939	472158	10		15	0	0	5	8	2	0	0						
505351	506223	+	lmo0469		506103	506019																
506368	506997	+	lmo0470	hypothetical protein	506727	506368	4		20	0	0	6	0	0	8	6			"Highly fragmented asRNA, S-adenosylmethionine-dependent methyltransferases (SAM or AdoMet-MTase), class I"			
540421	541467	+	lmo0506	hypothetical protein	540769	540421	36		40	54	20	6	4	2	7	1	rli30	Y	"Known asRNA, rli30"			
607372	608199	+	lmo0570	histidinol-phosphatase	607849	607372	5		15	0	11	0	0	2	0	2						
608184	608480	-	lmo0571	hypothetical protein	608233	608480	6		12	0	11	0	0	0	0	1						
643891	645231	-	lmo0605	hypothetical protein	643800	645231	132		337	36	19	139	29	74	76	0			"sigB dependent, COG0534, Na+-driven multidrug efflux pump [Defense mechanisms]; The Multi Antimicrobial Extrusion (MATE) Family 
"			
689541	689825	-	lmo0647	hypothetical protein	689529	689825	12		31	0	0	0	13	14	4	0				
689923	690873	+	lmo0648		690350	689932														
704452	705387	+	lmo0667	hypothetical protein	705124	704452	13		14	0	0	4	2	0	4	4			"ABC-type multidrug transport system, ATPase, ABC transporter signature motif"	
1129945	1131501	+	lmo1096	GMP synthase	1130253	1129945	5		17	0	3	2	0	2	4	6			Fragmented asRNA throughout the gene with short multiple pillars.	
1213636	1215087	+	lmo1188	hypothetical protein	1213983	1213636	13		13	0	2	5	3	0	0	3				
1263187	1263681	-	lmo1236	hypothetical protein	1263477	1263681	27		53	0	11	11	4	5	13	9			glycine/serine hydroxymethyltransferase. Highly conserved protein	
1279721	1281205	-	lmo1255	hypothetical protein	1279827	1281205	70		92	0	5	10	6	48	23	0			phosphotransferase system (PTS) is a multi-protein system involved in the regulation of a variety of metabolic and transcriptional processes.	
1302474	1303013	+	lmo1278	ATP-dependent protease peptidase subunit	1302913	1302474	374		482	0	0	0	3	97	292	90			"ATP-dependent protease peptidase, clpQ. clpQ is a part of the clpYQ protease, which degrades midfolded proteins. It is important for forming colonies under stress: http://www.springerlink.com/content/q7620727l887412m/ . In S. aureus it was not found to affect virulence: ""the absence of ClpYQ did not affect virulence as measured by a murine skin abscess model."" In S. aureus, CodY, which is part of the operon is a negative regulator of virulence. Operon organization is similar to that of B. subtillis: CodY might be involved in the negative nutritional
regulation of flagellin expression in B. subtilis [50]. Flagellin is a protein whose synthesis is more abundant at 22C than at 37C and it enhances the initial adherence of L. monocytogenes cells onto a substratum [51]. Tremoulet et al. [11] showed that flagellin was greatly repressed in mature biofilms of L. monocytogenes (http://www3.interscience.wiley.com/cgi-bin/fulltext/106557308/PDFSTART)."	
1303027	1304436	+	lmo1279	ATP-dependent protease ATP-binding subunit	1303985	1303027	8		11	0	0	0	0	2	9	0				
1307009	1307605	-	lmo1284	hypothetical protein	1307098	1307605	12		33	0	2	2	3	0	15	11				
1426766	1428328	+	lmo1399	phosphodiesterase	1426971	1426766	23		37	0	0	0	2	8	25	2			"Antisense to phosphodiesterase. protein from Staphylococcus aureus has hosphodiesterase activity against 2'-3'-cAMP and 2'-3'-cGMP
"	
1490229	1491053	-	lmo1457		1490369	1490461														
1495221	1495850	+	lmo1461	hypothetical protein	1495433	1495221	5		26	0	8	3	7	0	0	8			Putative beta-glucosidase (by PSI-blast)	
1511858	1513684	-	lmo1479		1513590	1513639														
1704618	1705181	-	lmo1655	hypothetical protein	1704657	1705181	5		12	0	0	0	0	2	0	10				
1724196	1724462	+	lmo1670	hypothetical protein	1724454	1724196	17		16	36	8	0	3	0	4	1			Overlaps the entire ORF. Expression level of ORF is inverse to that of the asRNA	
1731955	1732893	+	lmo1677	"1,4-dihydroxy-2-naphthoate"	1732471	1731955	6		12	0	0	8	0	0	4	0				
1769479	1769700	+	lmo1707	hypothetical protein	1769524	1769479	3		10	0	6	0	4	0	0	0				
1769720	1770526	-	lmo1708	hypothetical protein	1770069	1770526	15		40	126	19	9	6	2	0	4			"similar to aminoglycoside N3'-acetyltransferases, antibiotic resistance gene: The enzyme can use a range of antibiotics with 2-deoxystreptamine rings as acceptor for its acetyltransferase activity, this inactivates and confers resistance to gentamicin, kanamycin, tobramycin, neomycin and apramycin amongst others."	
1800256	1804848	-	lmo1734	hypothetical protein	1800500	1804848	29		27	0	6	0	5	13	0	3			"glutamate synthase (GltS) FMN-binding domain.  GltS
is a complex iron-sulfur flavoprotein that catalyzes the
reductive synthesis of L-glutamate from 2-oxoglutarate and
L-glutamine via intramolecular channelling of ammonia. Alanine, aspartate and glutamate and nitrogen metabolism"	
1818740	1819213	+	lmo1749		1819127	1819048														
1820133	1821494	-	lmo1751	hypothetical protein	1820461	1821494	6		13	0	0	0	0	0	13	0				
1827941	1829956	-	lmo1758		1829176	1829234														
1854077	1854682	-	lmo1777	Metal dependent phosphohydrolases	1854469	1854682	10		15	0	3	2	0	6	0	4				
1890951	1891139	+	lmo1816	50S ribosomal protein L28	1890969	1890951	11		11	0	0	0	0	2	5	4				
1905952	1906551	+	lmo1830	short chain dehydrogenase	1906099	1905952	10		15	0	0	0	0	6	9	0			The ORF is sigB dependent	
1922439	1923809	+	lmo1846	multidrug efflux protein	1923362	1922439	9		118	0	2	57	15	9	8	27			"Multidrug resistance gene, which was found related to susceptibility to resistance to fluoroquinilones. NorM; MdtK; functions as a Na(+)/drug antiporter; inactivation in Vibrio cholerae results in susceptibilityto fluoroquinolones"	
1981774	1982640	+	lmo1909	hypothetical protein	1982299	1981774	6		17	0	2	2	2	2	8	1			"Long fragemented antisense, which overlaps all of the gene"	
2040911	2042110	+	lmo1967		2041655	2041537														
2046507	2047256	-	lmo1974		2047165	2047238														
2052233	2052664	+	lmo1979	hypothetical protein	2052744	2052233	16		67	0	4	31	0	4	16	12		Y	"Identified by Toledo-Arana, lmo1980"	
2052696	2052833	+	lmo1980	hypothetical protein	2052744	2052696	16		77	0	4	33	4	6	16	14		Y	"Identified by Toledo-Arana, lmo1981"	
2052816	2053301	-	lmo1981	hypothetical protein	2052941	2053301	12		92	0	15	37	4	6	16	14		Y	Overlapping 3' UTRs	
2129185	2130078	-	lmo2046	2-dehydropantoate 2-reductase	2129647	2130078	11		12	0	0	0	0	0	9	3				
2138904	2139809	-	lmo2057	protoheme IX farnesyltransferase	2139794	2139809	13		14	0	0	3	3	0	4	4				
2172068	2173591	+	lmo2092	glycine betaine transporter BetL	2172517	2172068	4		12	0	0	0	2	0	4	6				
2174488	2175420	-	lmo2095	hypothetical protein	2174997	2175420	22		224	108	16	79	52	4	53	20		Y	"rli68, Known asRNA"	
2193645	2194412	+	lmo2114	hypothetical protein	2194478	2193645	8		14	0	0	0	0	10	4	0			Overlapping junction between 2 genes in an operon	
2194399	2196339	+	lmo2115	FtsX	2194478	2194399	8		18	0	0	0	0	10	8	0			Overlapping junction between 2 genes in an operon	
2226533	2227198	-	lmo2142	hypothetical protein	2226448	2227198	13		82	1240	0	74	0	0	8	0			"This pillar is not an antisense, it's a part of rli47"	
2313274	2314407	-	lmo2224		2314340	2314423														
2332888	2333283	-	lmo2241	hypothetical protein	2333247	2333283	9		11	0	0	0	0	3	7	1				
2347256	2348151	+	lmo2260		2347705	2347506														
2349475	2350320	+	lmo2263	hypothetical protein	2350055	2349475	7		10	0	0	2	0	2	4	2				
2360435	2360713	+	lmo2270	hypothetical protein	2360554	2360435	7		10	0	3	3	2	2	0	0				
2360908	2361141	-	lmo2271		2360820	2360930														
2397212	2397487	-	lmo2325	hypothetical protein	2397277	2397487	225		242	197	14	0	6	122	53	47		Y		
2468210	2468392	-	lmo2394		2468058	2468751													rli69	
2486136	2486921	-	lmo2415		2486369	2486419														
2489274	2489948	-	lmo2418	hypothetical protein	2489486	2489948	11		40	0	6	2	2	12	4	14			"D-methionine ABC transporter, permease protein. Operon is regulated by SAM riboswitch: One tested SAM riboswitch, SreA, was transcribed together with its downstream genes (lmo2419-lmo2418-lmo2417, encoding an ABC-transporter complex) at stationary phase (low-nutrient conditions, Figure S4 ). At logarithmic growth phase (rich condition), SreA was expressed as a short terminated transcript (229 bases, Figure S4 ). (3) Addition of SAM to an in vitro transcription assay caused an increased level of termination in a degree similar to what was discovered for other characterized SAM riboswitches (Figure S5 ) (Winkler et al., 2003). On the basis of these observations, we consider SreA-G to be canonical SAM riboswitches (Loh et al, 2009, Cell)."	
2497069	2498238	-	lmo2428		2497968	2498018														
2539838	2540173	+	lmo2466	hypothetical protein	2540211	2539838	3		25	0	0	0	0	0	4	21			"Adjacent to tRNA, probably a processing by product"	
2607605	2608477	-	lmo2530		2608022	2608077														
2635167	2637920	+	lmo2558	"autolysin, amidase"	2637680	2635167	19		24	0	3	0	5	2	9	5			"N-acetylmuramoyl-L-alanine amidase [Cell envelope biogenesis, outer membrane["	
2749538	2750233	-	lmo2678	DNA-binding transcriptional activator KdpE	2749549	2750233	5		17	0	2	7	2	2	0	4			"Long fragemented antisense, which overlaps all of the gene"	
2775644	2776486	+	lmo2700	hypothetical protein	2775792	2775644	10		10	0	0	0	0	8	0	2				
2791967	2792980	-	lmo2717	hypothetical protein	2792160	2792980	6		11	0	0	4	6	0	0	1				
2797838	2798572	+	lmo2722	hypothetical protein	2798064	2797838	18		22	0	0	8	14	0	0	0			"merR-family transcriptional regulator, drug binding domain"	
2819860	2821587	+	lmo2745	hypothetical protein	2820726	2819860	4		10	0	2	0	2	0	4	2				
2824079	2824651	+	lmo2749	hypothetical protein	2824111	2824079	12		21	0	8	3	0	0	0	10			Glutamine amidotransferase class-I	
																				
