Guide for interpreting SIPHT output
Locus Name	|	UpGENEnumber		UpGENEname		UpGENEdirection	distUpGENE	|	sRNAstart	end	dirsRNA	lensRNA	|	distDnGENE	DnGENEdir.	DnGENEnumber	DnGENEname		sRNAtype	BLASTscore	BLASTexpect	TermType	NumSearchesPredicted	BLASTpartner	QRNA?	homology to known sRNAs	Num paralogues	Weaker rev paralogue?	Paralogous candidates	Conserved synteny with knowns	Potential UTR?	Riboswitch?	Putative TFBSs
Candidate_7_NC_003210	|	lmor04		16S_ribosomal_RNA                               	*	>>>	28	|	245070	245124	>>>	54	|	161	>>>	lmor05	23S_ribosomal_RNA                              	*	candidate	209	0.0032	R	11	Listeria_innocua_Clip11262_chromosome_<>Enterococcus_faecalis_V583_chromosome_<>Lactobacillus_sakei_subsp._sakei_23K_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Desulfotomaculum_reducens_MI-1_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Bacillus_coagulans_2-6_chromosome_<>Weissella_koreensis_KACC_15510_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_<>Bacillus_coagulans_36D1_chromosome_<>Tetragenococcus_halophilus_NBRC_12172_chromosome_	-	-	9		Candidate_6_NC_003210(para),Candidate_63_NC_003210(para),Candidate_64_NC_003210(para),Candidate_379_NC_003210(para),Candidate_395_NC_003210(para),Candidate_92_NC_003210(para),Candidate_93_NC_003210(para),Candidate_32_NC_003210(para),Candidate_29_NC_003210(para)	-	-	-	-
Candidate_8_NC_003210	|	lmo0256		hypothetical_protein                            	*	>>>	1	|	270979	271206	>>>	227	|	117	>>>	lmo0257	hypothetical_protein                           	*	candidate	1694	2e-70	R	3	Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_9_NC_003210	|	lmo0292		hypothetical_protein                            	*	>>>	84	|	318460	318691	>>>	231	|	357	>>>	lmo0293	rRNA_large_subunit_methyltransferase           	*	candidate	217	0.0044	R	5	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Thermoanaerobacter_sp._X514_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_10_NC_003210	|	lmo0360		hypothetical_protein                            	*	>>>	113	|	388581	388798	>>>	217	|	8	<<<	lmo0361	hypothetical_protein                           	*	candidate	220	0.0023	R	26	Clostridium_acetobutylicum_ATCC_824_chromosome_<>Bacteroides_thetaiotaomicron_VPI-5482_chromosome_<>Photorhabdus_luminescens_subsp._laumondii_TTO1_chromosome_<>Bacillus_cereus_E33L_plasmid_pE33L466<>Psychrobacter_arcticus_273-4_chromosome_<>Staphylococcus_saprophyticus_subsp._saprophyticus_ATCC_15305_chromosome_<>Methanosarcina_barkeri_str._Fusaro_chromosome_<>Methanococcus_aeolicus_Nankai-3_chromosome_<>Rickettsia_rickettsii_str._'Sheila_Smith'_chromosome_<>Clostridium_phytofermentans_ISDg_chromosome_<>Proteus_mirabilis_HI4320_chromosome_<>Clostridium_botulinum_B_str._Eklund_17B_chromosome_<>Borrelia_duttonii_Ly_plasmid_pl41<>Ureaplasma_urealyticum_serovar_10_str._ATCC_33699_chromosome_<>Bacillus_anthracis_str._A0248_plasmid_pXO1<>Rickettsia_peacockii_str._Rustic_chromosome_<>Bartonella_grahamii_as4aup_chromosome_<>Photorhabdus_asymbiotica_subsp._asymbiotica_ATCC_43949_chromosome_<>cyanobacterium_UCYN-A_chromosome_<>Staphylococcus_pseudintermedius_HKU10-03_chromosome_<>Lactobacillus_amylovorus_GRL_1112_plasmid_plasmid2<>Methanotorris_igneus_Kol_5_chromosome_<>Zymomonas_mobilis_subsp._pomaceae_ATCC_29192_chromosome_<>Rickettsia_heilongjiangensis_054_chromosome_<>Cyclobacterium_marinum_DSM_745_chromosome_<>Rickettsia_japonica_YH_chromosome_	-	-	0	-	-	-	-	-	-B.subtilis_sigA_1(9.53|-98)
Candidate_11_NC_003210	|	lmo0464		hypothetical_protein                            	*	>>>	22	|	501982	502035	>>>	53	|	388	<<<	lmo0465	hypothetical_protein                           	*	candidate	252	0.0033	R	1	Clostridium_lentocellum_DSM_5427_chromosome_	-	-	1		Candidate_178_NC_003210(tandem)	-	-	-	-
Candidate_12_NC_003210	|	lmo0494		hypothetical_protein                            	*	>>>	3	|	531112	531279	>>>	167	|	14	>>>	lmo0495	hypothetical_protein                           	*	candidate	739	3.7e-27	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-B.subtilis_sigA_2(9.10|-138)
Candidate_13_NC_003210	|	lmo0610		hypothetical_protein                            	*	<<<	1	|	651635	651799	>>>	164	|	-6	<<<	lmo0611	azoreductase                                   	*	candidate	367	3.7e-10	R	1	Listeria_innocua_Clip11262_chromosome_	-	-	0	-	-	-	-	-	-B.subtilis_sigA_2(10.77|-261)
Candidate_14_NC_003210	|	lmo0629		hypothetical_protein                            	*	>>>	59	|	670010	670076	>>>	66	|	232	>>>	lmo0630	hypothetical_protein                           	*	candidate	247	0.00018	R	3	Methanosarcina_barkeri_str._Fusaro_chromosome_<>Thermosipho_africanus_TCF52B_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0		Candidate_84_NC_003210(anti),Candidate_202_NC_003210(tandem)	-	-	-	-
Candidate_15_NC_003210	|	lmo0638		hypothetical_protein                            	*	>>>	291	|	679415	679465	>>>	50	|	297	>>>	lmo0639	hypothetical_protein                           	*	candidate	227	0.0014	R	18	Staphylococcus_epidermidis_RP62A_chromosome_<>Listeria_innocua_Clip11262_chromosome_<>Ehrlichia_chaffeensis_str._Arkansas_chromosome_<>Trichodesmium_erythraeum_IMS101_chromosome_<>Leuconostoc_mesenteroides_subsp._mesenteroides_ATCC_8293_chromosome_<>Francisella_tularensis_subsp._tularensis_WY96-3418_chromosome_<>Clostridium_kluyveri_DSM_555_chromosome_<>Campylobacter_hominis_ATCC_BAA-381_chromosome_<>Thermoanaerobacter_pseudethanolicus_ATCC_33223_chromosome_<>Orientia_tsutsugamushi_str._Ikeda_chromosome_<>Sulfolobus_islandicus_M.16.4_chromosome_<>Clostridium_difficile_CD196_chromosome_<>Clostridium_difficile_R20291_chromosome_<>cyanobacterium_UCYN-A_chromosome_<>Moraxella_catarrhalis_RH4_chromosome_<>Clostridium_cellulovorans_743B_chromosome_<>Weissella_koreensis_KACC_15510_chromosome_<>Rickettsia_japonica_YH_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_16_NC_003210	|	lmo0786		hypothetical_protein                            	*	>>>	1	|	811622	811788	>>>	166	|	24	>>>	lmo0787	hypothetical_protein                           	*	candidate	669	7.2e-24	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_17_NC_003210	|	lmo1003		phosphotransferase_system_enzyme_I              	*	>>>	3	|	1034912	1035067	>>>	155	|	-47	>>>	lmo1004	hypothetical_protein                           	*	candidate	315	1.2e-07	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-B.subtilis_sigA_2(10.01|-82)
Candidate_18_NC_003210	|	lmo1115		hypothetical_protein                            	*	<<<	308	|	1152784	1152923	>>>	139	|	86	>>>	lmo1116	hypothetical_protein                           	*	candidate	327	8.9e-09	R	22	Staphylococcus_aureus_subsp._aureus_COL_chromosome_<>Oceanobacillus_iheyensis_HTE831_chromosome_<>Staphylococcus_aureus_subsp._aureus_USA300_FPR3757_chromosome_<>Staphylococcus_aureus_subsp._aureus_NCTC_8325_chromosome_<>Candidatus_Ruthia_magnifica_str._Cm_(Calyptogena_magnifica)_chromosome_<>Yersinia_enterocolitica_subsp._enterocolitica_8081_chromosome_<>Staphylococcus_aureus_subsp._aureus_str._Newman_chromosome_<>Staphylococcus_aureus_subsp._aureus_USA300_TCH1516_chromosome_<>Cyanothece_sp._ATCC_51142_chromosome_circular<>Clostridium_cellulolyticum_H10_chromosome_<>Sulfolobus_islandicus_L.S.2.15_chromosome_<>Sulfolobus_islandicus_Y.N.15.51_chromosome_<>Sulfolobus_islandicus_M.16.4_chromosome_<>Rickettsia_peacockii_str._Rustic_chromosome_<>Thermococcus_sibiricus_MM_739_chromosome_<>Clostridium_difficile_CD196_chromosome_<>Gardnerella_vaginalis_409-05_chromosome_<>Streptococcus_mitis_B6_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Clostridium_cellulovorans_743B_chromosome_<>Carnobacterium_sp._17-4_plasmid_pCAR50<>Melissococcus_plutonius_ATCC_35311_chromosome_	-	-	4		Candidate_75_NC_003210(opp),Candidate_278_NC_003210(para),Candidate_279_NC_003210(para),rliC_NC_003210(para)	-	-	-	-
Candidate_19_NC_003210	|	lmo1252		hypothetical_protein                            	*	<<<	2	|	1276696	1277057	>>>	361	|	254	>>>	lmo1253	hypothetical_protein                           	*	candidate	1351	6.6e-55	R	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-B.subtilis_sigA_2(9.34|-212)
Candidate_20_NC_003210	|	lmo1437		hypothetical_protein                            	*	<<<	2	|	1470490	1470690	>>>	200	|	-6	<<<	lmo1438	hypothetical_protein                           	*	candidate	815	1.8e-30	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_21_NC_003210	|	lmo1480		30S_ribosomal_protein_S20                       	*	>>>	1	|	1514173	1514263	>>>	90	|	-7	<<<	lmo1481	DNA_polymerase_III_subunit_delta               	*	candidate	301	6.7e-07	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_22_NC_003210	|	lmo1571		6-phosphofructokinase                           	*	<<<	1	|	1611167	1611449	>>>	282	|	-1	<<<	lmo1572	acetyl-CoA_carboxylase_carboxyltransferase_subunit   	*	candidate	789	1.8e-29	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-Multi_Fur(12.01|-245)
Candidate_23_NC_003210	|	lmo1597		hypothetical_protein                            	*	<<<	180	|	1641185	1641288	>>>	103	|	-5	<<<	lmo1598	tyrosyl-tRNA_synthetase                        	*	candidate	311	2.1e-07	R	20	Listeria_innocua_Clip11262_chromosome_<>Bacillus_anthracis_str._Ames_chromosome_<>Bacillus_anthracis_str._Sterne_chromosome_<>Bacillus_thuringiensis_serovar_konkukian_str._97-27_chromosome_<>Rickettsia_felis_URRWXCal2_chromosome_<>Staphylococcus_saprophyticus_subsp._saprophyticus_ATCC_15305_chromosome_<>Bacillus_anthracis_str._'Ames_Ancestor'_chromosome_<>Staphylococcus_aureus_subsp._aureus_USA300_FPR3757_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Metallosphaera_sedula_DSM_5348_chromosome_<>Clostridium_beijerinckii_NCIMB_8052_chromosome_<>Alkaliphilus_metalliredigens_QYMF_chromosome_<>Acinetobacter_baumannii_AYE_chromosome_<>Acinetobacter_baumannii_AB0057_chromosome_<>Bacillus_cereus_AH820_chromosome_<>Bacillus_anthracis_str._CDC_684_chromosome_<>Bacillus_anthracis_str._A0248_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Geobacillus_sp._C56-T3_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_24_NC_003210	|	lmo1599		catabolite_control_protein_A                    	*	<<<	1	|	1643874	1644108	>>>	234	|	-3	<<<	lmo1600	bifunctional_3-deoxy-7-phosphoheptulonate_synthase   	*	candidate	749	1.4e-27	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_25_NC_003210	|	lmo1600		bifunctional_3-deoxy-7-phosphoheptulonate_synthase  	*	<<<	34	|	1645226	1645408	>>>	182	|	3	<<<	lmo1601	hypothetical_protein                           	*	candidate	254	3.1e-05	R	7	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Geobacillus_sp._WCH70_chromosome_<>Bacillus_pseudofirmus_OF4_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Bacillus_cellulosilyticus_DSM_2522_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	NC_000913_IS092(-)_-_(hom|rev)	0	-	-	-	-	-	-
Candidate_26_NC_003210	|	lmo1604		hypothetical_protein                            	*	<<<	1	|	1648368	1648511	>>>	143	|	-1	<<<	lmo1605	UDP-N-acetylmuramate--L-alanine_ligase         	*	candidate	488	1.4e-15	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_27_NC_003210	|	lmo1618		hypothetical_protein                            	*	<<<	3	|	1661367	1661588	>>>	221	|	-1	<<<	lmo1619	D-amino_acid_aminotransferase                  	*	candidate	571	1.7e-19	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_28_NC_003210	|	lmo1634		bifunctional_acetaldehyde-CoA/alcohol_dehydrogenas  	*	>>>	1	|	1680011	1680092	>>>	81	|	39	>>>	lmo1635	hypothetical_protein                           	*	candidate	444	1.7e-13	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_29_NC_003210	|	lmor09		16S_ribosomal_RNA                               	*	<<<	130	|	1747942	1747984	>>>	42	|	278	<<<	lmo1683	hypothetical_protein                           	*	candidate	209	0.0033	R	17	Listeria_innocua_Clip11262_chromosome_<>Pectobacterium_atrosepticum_SCRI1043_chromosome_<>Lactobacillus_plantarum_WCFS1_chromosome_<>Lactobacillus_sakei_subsp._sakei_23K_chromosome_<>Pediococcus_pentosaceus_ATCC_25745_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Lysinibacillus_sphaericus_C3-41_chromosome_<>Exiguobacterium_sibiricum_255-15_chromosome_<>Lactobacillus_plantarum_JDM1_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Clostridium_saccharolyticum_WM1_chromosome_<>Bacillus_subtilis_subsp._spizizenii_str._W23_chromosome_<>Bacillus_amyloliquefaciens_DSM_7_chromosome_<>Lactobacillus_plantarum_subsp._plantarum_ST-III_chromosome_<>Carnobacterium_sp._17-4_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_<>Bacillus_subtilis_subsp._spizizenii_TU-B-10_chromosome_	RNA	-	10		Candidate_32_NC_003210(para),Candidate_91_NC_003210(para),Candidate_44_NC_003210(para),Candidate_53_NC_003210(para),Candidate_92_NC_003210(para),Candidate_93_NC_003210(para),Candidate_6_NC_003210(para),Candidate_7_NC_003210(para),Candidate_63_NC_003210(para),Candidate_64_NC_003210(para)	-	-	-	-
Candidate_30_NC_003210	|	lmo1713		rod_shape-determining_protein_MreB              	*	>>>	7	|	1775991	1776113	>>>	122	|	-2	>>>	lmot39	tRNA-Arg                                       	*	candidate	243	0.00022	R	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_31_NC_003210	|	lmo1750		hypothetical_protein                            	*	<<<	90	|	1819889	1820134	>>>	245	|	-2	<<<	lmo1751	hypothetical_protein                           	*	candidate	229	0.001	R	16	Staphylococcus_aureus_subsp._aureus_N315_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu50_chromosome_<>Staphylococcus_aureus_subsp._aureus_MRSA252_chromosome_<>Listeria_innocua_Clip11262_chromosome_<>Trichodesmium_erythraeum_IMS101_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Lactococcus_lactis_subsp._cremoris_MG1363_chromosome_<>Flavobacterium_johnsoniae_UW101_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH9_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH1_chromosome_<>Bacillus_cytotoxicus_NVH_391-98_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu3_chromosome_<>Acinetobacter_baumannii_SDF_chromosome_<>Staphylococcus_aureus_subsp._aureus_ED98_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
