ID	Start	Stop	Strand	ref	comment	Mellin comment	NB Verification
rli145	2584861	2585032	-0	Here			
rli106	2594561	2594785	-0	Mraheil et al	Doesn't appear to meet our criteria in the browser (>10 reads or present in 2 or more conditions)	only present in one condition, low reads	
rli63	2612921	2613300	-0	Toledo-Arana et al, Mraheil			
rli107	2632700	2632770	-0	Mraheil et al	Seen in a previous study but no TSS seen in our study		
rli108	2639710	2639789	-0	Mraheil et al			
rli146	2640531	2640819	-0	Here			
rli49	2660210	2660350	0	Toledo-Arana et al	Doesn't appear to meet our criteria in the browser (>10 reads or present in 2 or more conditions)	only present in one condition, low reads	
rli109	2694509	2694694	-0	Mraheil et al			
rli110	2730489	2730555	0	Mraheil et al	Seen in a previous study but no TSS seen in our study	Potential asRNA	
rli111	2736457	2736640	0	Mraheil et al		Potential asRNA	
rli112	2782978	2783221	0	Mraheil et al		Not noted, but Rli112 is a likely RatA homologues as Rli78 is, sense/antisense pair with rli50	X
rli50	2783050	2783264	-0	Toledo-Arana et al, Mraheil		Not noted, but Rli50 is a likely RatA homologues as Rli78 is, sense/antisense pair with rli112	X
small SRP	2784311	2784413	-0				
large SRP	2784413	2784775	-0				
rli147	2794580	2794741	-0	Here			
rliI	2841980	2842199	-0	Mandin et al			X
